All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Restaurant Packaging Charges,Platform Fee Charge,Delivery Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @12%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"POS",173.00,64,0,28045.99,954.45,0,0,0,0,0,0,0.00,27091.54,1269.25,60.45,216.51,0,1546.24,28637.78,14.22,28652.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"Swiggy",22.00,9,0,3666.10,1454.98,90.00,0,0,0,0,0,90.00,2211.12,0,0,0,115.05,115.05,2416.17,0.83,2417.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"Zomato",41.00,15,0,8343.35,3059.30,0,0,0,0,0,0,0.00,5284.05,0,0,18.15,259.17,277.33,5561.38,0.62,5562.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"Mobile App",2.00,2,0,540.00,540.00,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-01,"Swiggy-Bolt Urgent",3.00,1,0,210.00,100.00,10.00,0,0,0,0,0,10.00,110.00,0,0,0,6.00,6.00,126.00,0.00,126.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"POS",244.00,72,0,37838.19,57.00,0,0,0,0,0,0,0.00,37781.19,1853.34,26.78,88.47,0,1968.62,39749.81,20.19,39770.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"Swiggy",18.00,8,0,3550.42,987.99,80.00,0,0,0,0,0,80.00,2562.43,0,0,45.08,119.60,164.68,2807.11,0.89,2808.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"Zomato",38.00,14,0,9437.50,3688.07,0,0,0,0,0,0,0.00,5749.43,0,0,0,287.49,287.50,6036.93,-0.93,6036.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-02,"Mobile App",6.00,2,0,980.00,0.00,0,10.00,0,0,0,0,10.00,980.00,38.30,0,45.00,0,83.30,1073.30,-0.30,1073.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"POS",381.00,86,0,62352.12,24505.73,0,0,0,0,0,0,0.00,37846.39,1847.28,28.39,119.59,0,1995.30,39841.69,21.31,39863.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"Zomato",34.00,12,0,7725.60,3047.85,0,0,0,0,0,0,0.00,4677.75,0,0,51.40,219.61,271.02,4948.77,1.23,4950.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-03,"Swiggy",11.00,4,0,1289.86,432.00,40.00,0,0,0,0,0,40.00,857.86,0,0,17.50,40.03,57.53,955.39,0.61,956.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"POS",210.00,60,0,32687.72,525.65,0,0,0,0,0,0,0.00,32162.07,1517.89,127.42,133.68,0,1779.02,33941.09,9.91,33951.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"Zomato",31.00,11,0,5492.50,1455.75,0,0,0,0,0,0,0.00,4036.75,0,0,0,203.45,201.85,4238.60,2.40,4241.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"Swiggy",17.00,8,0,2682.50,1189.00,80.00,0,0,0,0,0,80.00,1493.50,0,0,0,78.67,78.67,1652.17,-0.17,1652.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"Mobile App",7.00,2,0,1020.00,197.00,0,10.00,0,0,0,0,10.00,823.00,42.95,0,0,0,42.95,875.95,0.05,876.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-05,"POS",134.00,52,0,20825.73,271.00,0,0,0,0,0,0,0.00,20554.73,998.55,70.07,0,0,1068.65,21623.38,13.62,21637.00,
