All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Restaurant Charge,Platform Fee Charge,Delivery Charge,Charges,Net Sale,GST @5%,ECom_GST@5%,GST @18%,GST @12%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"POS",211.00,64,0,31520.03,156.00,0,0,0,0,0,0.00,31364.03,1515.02,13.50,122.79,13.39,0,1664.70,33028.73,17.27,33046.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"Swiggy",7.00,3,0,1640.00,511.98,90.00,0,0,0,0,90.00,1128.02,0,60.92,0,0,0,60.92,1278.94,0.06,1279.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-01,"Zomato",23.00,7,0,3631.61,774.00,0,210.00,0,0,0,210.00,2857.61,0,147.80,0,13.39,0,161.19,3228.80,1.20,3230.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"POS",175.00,57,0,24518.90,1060.02,0,0,0,0,0,0.00,23458.88,1118.30,0,171.81,16.61,0,1306.72,24765.60,10.40,24776.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"Zomato",25.00,10,0,3840.00,724.00,0,300.00,0,0,0,300.00,3116.00,0,170.80,0,0,0,170.80,3586.80,2.20,3589.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"Swiggy",16.00,5,0,1541.61,469.99,150.00,0,0,0,0,150.00,1071.62,0,57.13,0,9.47,0,66.61,1288.23,-0.23,1288.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-02,"Mobile App",1.00,1,0,270.00,270.00,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"Zomato",25.00,8,0,3340.00,918.00,0,240.00,0,0,0,240.00,2422.00,0,133.10,0,0,0,133.10,2795.10,1.90,2797.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"Swiggy",25.00,9,0,2755.00,899.98,270.00,0,0,0,0,270.00,1855.02,0,106.24,0,0,0,106.25,2231.27,-0.27,2231.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"POS",135.00,42,0,17250.09,403.00,0,0,0,0,0,0.00,16847.09,808.85,0,100.52,13.39,0,922.76,17769.85,9.15,17779.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-03,"Mobile App",3.00,2,0,540.00,270.00,0,0,5.00,0,0,5.00,270.00,14.40,0,0,0,0,14.40,289.40,-0.40,289.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"POS",126.00,38,0,15910.00,750.00,0,0,0,0,0,0.00,15160.00,758.00,0,0,0,0,758.00,15918.00,7.00,15925.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"Zomato",7.00,2,0,815.00,326.50,0,60.00,0,0,0,60.00,488.50,0,27.43,0,0,0,27.43,575.93,0.07,576.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"Swiggy",6.00,2,0,1230.00,299.99,60.00,0,0,0,0,60.00,930.01,0,49.51,0,0,0,49.51,1039.52,0.48,1040.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-04,"Swiggy-Bolt Urgent",9.00,3,0,760.00,138.00,90.00,0,0,0,0,90.00,622.00,0,35.60,0,0,0,35.60,747.60,0.40,748.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"Swiggy",14.00,7,0,2444.83,704.97,210.00,0,0,0,0,210.00,1739.86,0,81.12,58.98,0,0,140.10,2089.96,0.04,2090.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"POS",191.00,56,0,29459.98,858.14,0,0,0,0,0,0.00,28601.84,1328.89,0,292.68,47.74,0,1669.30,30271.14,13.86,30285.00,
"-","-","North","Coffee Island Beyond GK II",2025-09-05,"Zomato",44.00,14,0,6719.00,1958.00,0,420.00,0,0,0,420.00,4761.00,0,225.60,120.42,0,0,346.02,5527.02,0.98,5528.00,
