All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Restaurant Charge,Packaging Charge [CART - SWIGGY],Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @40%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"POS",335.00,94,0,54363.60,1268.98,0,0,0,0,0,0,0.00,53094.62,2648.84,47.14,0,0,2695.99,55790.61,15.39,55806.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"Zomato",7.00,3,0,1040.00,360.00,90.00,0,0,0,0,0,90.00,680.00,0,0,38.50,0,38.50,808.50,1.50,810.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-01,"Mobile App",8.00,3,0,3360.00,300.00,0,15.00,0,0,0,0,15.00,3060.00,68.99,0,0,312.14,381.13,3456.13,-0.13,3456.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"Zomato",13.00,4,0,2590.00,601.00,120.00,0,0,0,0,0,120.00,1989.00,0,0,105.44,0,105.44,2214.44,0.56,2215.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"POS",211.00,53,0,33257.70,286.87,0,0,0,0,0,0,0.00,32970.83,1648.54,0,0,0,1648.54,34619.37,13.63,34633.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"Swiggy",14.00,3,0,1460.00,354.98,0,0,90.00,0,0,0,90.00,1105.02,0,0,59.75,0,59.75,1254.77,1.23,1256.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-02,"Mobile App",1.00,1,0,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"POS",152.00,45,0,23053.51,1124.94,0,0,0,0,0,0,0.00,21928.57,1082.94,0,0,0,1082.94,23011.51,10.49,23022.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"Zomato",9.00,3,0,1270.00,420.00,90.00,0,0,0,0,0,90.00,850.00,0,0,47.00,0,47.00,987.00,1.00,988.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"Swiggy",2.00,1,0,340.00,75.00,0,0,30.00,0,0,0,30.00,265.00,0,0,14.75,0,14.75,309.75,0.25,310.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-03,"Mobile App",1.00,1,0,210.00,0.00,0,5.00,0,0,0,0,5.00,210.00,11.40,0,0,0,11.40,226.40,-0.40,226.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"POS",195.00,63,0,34174.42,1326.00,0,0,0,0,0,0,0.00,32848.42,1612.93,0,29.50,0,1642.43,34490.85,12.15,34503.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"Swiggy",20.00,5,0,3020.00,434.97,0,0,150.00,0,0,0,150.00,2585.03,0,0,136.76,0,136.77,2871.80,1.20,2873.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"Zomato",16.00,4,0,2560.00,150.00,120.00,0,0,0,0,0,120.00,2410.00,0,0,126.50,0,126.50,2656.50,1.50,2658.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-04,"Swiggy-Bolt Urgent",4.00,1,0,640.00,75.00,0,0,30.00,0,0,0,30.00,565.00,0,0,29.75,0,29.75,624.75,0.25,625.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"POS",173.00,51,0,27941.54,2020.00,0,0,0,0,0,0,0.00,25921.54,1285.54,0,0,37.98,1323.52,27245.06,7.94,27253.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"Swiggy-Bolt Urgent",3.00,1,0,290.00,75.00,0,0,30.00,0,0,0,30.00,215.00,0,0,12.25,0,12.25,257.25,-0.25,257.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-05,"Swiggy",16.00,4,0,2480.00,499.99,0,0,120.00,0,0,0,120.00,1980.01,0,0,105.01,0,105.00,2205.01,-0.01,2205.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"POS",134.00,34,0,20030.98,3324.00,0,0,0,0,0,0,0.00,16706.98,776.21,0,0,212.94,989.15,17696.13,4.87,17701.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"Zomato",25.00,5,0,3080.00,880.00,150.00,0,0,0,0,0,150.00,2200.00,0,0,117.50,0,117.50,2467.50,1.50,2469.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"Swiggy",2.00,1,0,280.00,80.00,0,0,30.00,0,0,0,30.00,200.00,0,0,11.50,0,11.50,241.50,0.50,242.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-06,"Mobile App",2.00,2,0,310.00,0.00,0,5.00,0,0,0,0,5.00,310.00,16.40,0,0,0,16.40,331.40,-0.40,331.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-07,"POS",260.00,42,0,41342.68,4858.92,0,0,0,0,0,0,0.00,36483.76,1815.40,47.14,0,10.98,1873.52,38357.28,7.72,38365.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-07,"Zomato",11.00,4,0,1840.00,465.00,120.00,0,0,0,0,0,120.00,1375.00,0,0,74.75,0,74.75,1569.75,1.25,1571.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-07,"Swiggy",1.00,1,0,179.00,71.60,0,0,30.00,0,0,0,30.00,107.40,0,0,6.87,0,6.87,144.27,-0.27,144.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-08,"Swiggy",6.00,3,0,850.00,240.00,0,0,90.00,0,0,0,90.00,610.00,0,0,35.00,0,35.00,735.00,1.00,736.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-08,"POS",275.00,57,0,44315.95,6090.44,0,0,0,0,0,0,0.00,38225.51,1778.89,0,0,427.94,2206.83,40432.34,9.66,40442.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-08,"Mobile App",3.00,3,0,539.00,107.00,0,10.00,0,0,0,0,10.00,432.00,21.60,0,0,1.80,23.40,465.40,-0.40,465.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-09,"POS",198.00,63,0,26928.21,1764.75,0,0,0,0,0,0,0.00,25163.46,1258.21,0,0,0.00,1258.20,26421.66,12.34,26434.00,
"-","-","North","Coffee Island Beyond GK II",2025-10-09,"Swiggy",15.00,4,0,3450.00,679.97,0,0,120.00,0,0,0,120.00,2770.03,0,0,144.51,0,144.51,3034.54,1.46,3036.00,
