All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Charge,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,GST @18%,GST @5%,ECom_GST@5%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"Mobile App",5.00,2,0,527.00,100.00,10.00,0,0,0,0,0,10.00,427.00,1.80,21.35,0,0,23.15,460.15,0.85,461.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"POS",221.00,68,0,34784.47,922.50,0,0,0,0,0,0,0.00,33861.97,106.56,1663.50,0,0,1770.07,35632.04,8.96,35641.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"Swiggy",14.00,5,0,3614.92,807.45,0,150.00,0,0,0,0,150.00,2807.47,0,0,147.87,0,147.87,3105.34,0.66,3106.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-01,"Zomato",48.00,10,0,6461.00,1375.00,0,0,200.00,0,0,0,200.00,5086.00,12.20,0,260.91,0,273.11,5559.11,-1.11,5558.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"Swiggy",11.00,2,0,3280.00,199.99,0,60.00,0,0,0,0,60.00,3080.01,0,0,157.00,0,157.00,3297.01,0.99,3298.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"POS",202.00,58,0,33645.44,1795.50,0,0,0,0,0,0,0.00,31849.94,18.18,1582.93,0,36.19,1637.31,33487.25,8.75,33496.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"Zomato",20.00,5,0,3126.61,1000.00,0,0,100.00,0,0,0,100.00,2126.61,0,0,111.33,0,111.33,2337.94,0.06,2338.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-02,"Mobile App",1.00,1,0,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"Swiggy",7.00,3,0,1010.00,160.00,0,90.00,0,0,0,0,90.00,850.00,0,0,47.00,0,47.00,987.00,1.00,988.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"POS",84.00,37,0,15619.49,123.00,0,0,0,0,0,0,0.00,15496.49,106.56,745.24,0,0,851.80,16348.29,2.71,16351.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"Zomato",6.00,6,0,1750.00,530.00,0,0,120.00,0,0,0,120.00,1220.00,0,0,67.00,0,67.00,1407.00,1.00,1408.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-03,"Mobile App",3.00,2,0,470.00,115.00,5.00,0,0,0,0,0,5.00,355.00,0.90,17.75,0,0,18.65,378.65,0.35,379.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"POS",111.00,49,0,29551.00,2502.70,0,0,0,0,0,0,0.00,27048.30,0,1352.46,0,0,1352.46,28400.76,2.24,28403.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"Swiggy",3.00,2,0,920.00,235.00,0,60.00,0,0,0,0,60.00,685.00,0,0,37.25,0,37.25,782.25,0.75,783.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"Zomato",11.00,9,0,3065.00,1166.00,0,0,180.00,0,0,0,180.00,1899.00,0,0,103.95,0,103.95,2182.95,2.05,2185.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-04,"Mobile App",4.00,2,0,810.00,100.00,5.00,0,0,0,0,0,5.00,710.00,0.90,35.50,0,0,36.40,751.40,-0.40,751.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-05,"POS",78.00,40,0,18562.61,367.50,0,0,0,0,0,0,0.00,18195.11,0,909.76,0,0,909.76,19104.87,5.13,19110.00,
"-","-","North","Coffee Island Beyond GK II",2025-11-05,"Zomato",9.00,8,0,2670.00,822.00,0,0,160.00,0,0,0,160.00,1848.00,0,0,100.40,0,100.40,2108.40,0.60,2109.00,
