  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,GST @12%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-05-08,"POS",860.00,1,0,74356.64,0.00,0.00,74356.64,3717.83,0,0,3717.83,78074.47,0.00,78074.47,
"-","-","South","MSFT Hyd",2025-05-10,"POS",870.00,1,0,77135.08,0.00,0.00,77135.08,3856.75,0,0,3856.75,80991.83,0.00,80991.83,
"-","-","South","MSFT Hyd",2025-05-12,"POS",519.00,21,0,47791.00,0.00,0.00,47791.00,2389.60,0,0,2389.60,50180.60,0.00,50180.60,
"-","-","South","MSFT Hyd",2025-05-13,"POS",618.00,113,0,56577.96,6344.60,0.00,50233.36,2511.69,0.00,0.00,2511.69,52745.05,0.00,52745.05,
"-","-","South","MSFT Hyd",2025-05-14,"POS",496.00,209,0,43803.82,0.00,0.00,43803.82,2190.23,0,0,2190.23,45994.05,-0.00,45994.05,
"-","-","South","MSFT Hyd",2025-05-15,"POS",539.00,164,0,49298.91,0.00,0.00,49298.91,2464.99,0,0,2464.99,51763.90,0.00,51763.90,
"-","-","South","MSFT Hyd",2025-05-16,"POS",783.00,159,0,70140.10,0.00,0.00,70140.10,3507.05,0,0,3507.05,73647.15,0.00,73647.15,
"-","-","South","MSFT Hyd",2025-05-19,"POS",418.00,166,0,35165.55,0.00,0.00,35165.55,1758.30,0,0,1758.30,36923.85,-0.00,36923.85,
"-","-","South","MSFT Hyd",2025-05-20,"POS",460.00,182,0,41008.80,0.00,0.00,41008.80,2050.45,0,0,2050.45,43059.25,0.00,43059.25,
"-","-","South","MSFT Hyd",2025-05-21,"POS",496.00,188,0,44981.24,0.00,0.00,44981.24,2249.11,0,0,2249.11,47230.35,-0.00,47230.35,
"-","-","South","MSFT Hyd",2025-05-22,"POS",476.00,135,0,43947.34,0.00,0.00,43947.34,2197.41,0,0,2197.41,46144.75,0.00,46144.75,
"-","-","South","MSFT Hyd",2025-05-23,"POS",626.00,302,0,58690.75,0.00,0.00,58690.75,2934.59,0,0,2934.59,61625.34,-0.00,61625.34,
"-","-","South","MSFT Hyd",2025-05-26,"POS",401.00,189,0,33043.65,0.00,0.00,33043.65,1652.20,0,0,1652.20,34695.85,0.00,34695.85,
"-","-","South","MSFT Hyd",2025-05-27,"POS",402.00,188,0,36152.87,0.00,0.00,36152.87,1807.68,0,0,1807.68,37960.55,0.00,37960.55,
"-","-","South","MSFT Hyd",2025-05-28,"POS",557.00,272,0,48670.99,0.00,0.00,48670.99,2433.61,0,0,2433.61,51104.60,-0.00,51104.60,
"-","-","South","MSFT Hyd",2025-05-29,"POS",511.00,246,0,43318.52,0.00,0.00,43318.52,2166.03,0,0,2166.03,45484.55,-0.00,45484.55,
"-","-","South","MSFT Hyd",2025-05-30,"POS",566.00,277,0,47900.49,0.00,0.00,47900.49,2394.96,0,0,2394.96,50295.45,-0.00,50295.45,

