  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-08-01,"POS",561.00,259,0,49470.17,0.00,0.00,49470.17,2473.64,2473.64,51943.81,-17.81,51926.00,
"-","-","South","MSFT Hyd",2025-08-04,"POS",354.00,164,0,27676.51,0.00,0.00,27676.51,1383.97,1383.97,29060.48,-8.48,29052.00,
"-","-","South","MSFT Hyd",2025-08-05,"POS",464.00,232,0,38691.78,0.00,0.00,38691.78,1934.64,1934.64,40626.42,-14.42,40612.00,
"-","-","South","MSFT Hyd",2025-08-06,"POS",458.00,224,0,38257.43,0.00,0.00,38257.43,1912.95,1912.95,40170.38,-12.38,40158.00,
"-","-","South","MSFT Hyd",2025-08-07,"POS",419.00,215,0,36224.86,0.00,0.00,36224.86,1811.32,1811.32,38036.18,-11.18,38025.00,
"-","-","South","MSFT Hyd",2025-08-08,"POS",597.00,316,0,53688.06,0.00,0.00,53688.06,2684.54,2684.54,56372.60,-20.60,56352.00,
"-","-","South","MSFT Hyd",2025-08-11,"POS",329.00,161,0,27417.49,0.00,0.00,27417.49,1370.96,1370.96,28788.45,-9.45,28779.00,
"-","-","South","MSFT Hyd",2025-08-12,"POS",419.00,204,0,34212.83,0.00,0.00,34212.83,1710.74,1710.74,35923.57,-8.57,35915.00,
"-","-","South","MSFT Hyd",2025-08-13,"POS",446.00,208,0,34809.28,0.00,0.00,34809.28,1740.55,1740.55,36549.83,-11.83,36538.00,
"-","-","South","MSFT Hyd",2025-08-14,"POS",386.00,184,0,31881.12,0.00,0.00,31881.12,1594.20,1594.20,33475.32,-10.32,33465.00,
"-","-","South","MSFT Hyd",2025-08-18,"POS",327.00,151,0,26102.11,0.00,0.00,26102.11,1284.19,1284.19,27386.30,-7.30,27379.00,
"-","-","South","MSFT Hyd",2025-08-19,"POS",403.00,197,0,33728.95,0.00,0.00,33728.95,1686.49,1686.49,35415.44,-13.44,35402.00,
"-","-","South","MSFT Hyd",2025-08-20,"POS",367.00,179,0,30784.92,0.00,0.00,30784.92,1528.80,1528.80,32313.72,-15.72,32298.00,
"-","-","South","MSFT Hyd",2025-08-21,"POS",425.00,202,0,35174.40,0.00,0.00,35174.40,1758.81,1758.81,36933.21,-8.21,36925.00,
"-","-","South","MSFT Hyd",2025-08-22,"POS",437.00,217,0,36381.12,0.00,0.00,36381.12,1819.13,1819.13,38200.25,-14.25,38186.00,
"-","-","South","MSFT Hyd",2025-08-25,"POS",311.00,150,0,24939.41,0.00,0.00,24939.41,1247.04,1247.04,26186.45,-12.45,26174.00,
"-","-","South","MSFT Hyd",2025-08-26,"POS",378.00,195,0,33663.83,0.00,0.00,33663.83,1662.30,1662.30,35326.13,-14.13,35312.00,
"-","-","South","MSFT Hyd",2025-08-27,"POS",387.00,192,0,32770.64,0.00,0.00,32770.64,1638.66,1638.66,34409.30,-11.30,34398.00,
"-","-","South","MSFT Hyd",2025-08-28,"POS",354.00,176,0,29638.72,0.00,0.00,29638.72,1482.07,1482.07,31120.79,-12.79,31108.00,
"-","-","South","MSFT Hyd",2025-08-29,"POS",468.00,218,0,37726.71,0.00,0.00,37726.71,1886.46,1886.46,39613.17,-14.17,39599.00,

