  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-10-01,"POS",362.00,180,0,31038.57,0.00,0.00,31038.57,1551.96,1551.96,32590.53,-10.53,32580.00,
"-","-","South","MSFT Hyd",2025-10-03,"POS",352.00,173,0,29111.15,0.00,0.00,29111.15,1455.65,1455.65,30566.80,-9.80,30557.00,
"-","-","South","MSFT Hyd",2025-10-06,"POS",390.00,182,0,31181.17,0.00,0.00,31181.17,1548.69,1548.69,32729.86,-7.86,32722.00,
"-","-","South","MSFT Hyd",2025-10-07,"POS",387.00,185,0,32232.30,0.00,0.00,32232.30,1601.31,1601.31,33833.61,-9.61,33824.00,
"-","-","South","MSFT Hyd",2025-10-08,"POS",317.00,158,0,26048.02,0.00,0.00,26048.02,1302.52,1302.52,27350.54,-9.54,27341.00,
"-","-","South","MSFT Hyd",2025-10-09,"POS",559.00,210,0,48832.07,0.00,0.00,48832.07,2431.29,2431.29,51263.36,-11.36,51252.00,
"-","-","South","MSFT Hyd",2025-10-10,"POS",366.00,180,0,32359.15,0.00,0.00,32359.15,1618.13,1618.13,33977.28,-9.28,33968.00,
"-","-","South","MSFT Hyd",2025-10-13,"POS",301.00,143,0,24252.36,0.00,0.00,24252.36,1212.71,1212.71,25465.07,-6.07,25459.00,
"-","-","South","MSFT Hyd",2025-10-14,"POS",264.00,129,0,24398.85,0.00,0.00,24398.85,1220.06,1220.06,25618.91,-6.91,25612.00,
"-","-","South","MSFT Hyd",2025-10-15,"POS",294.00,136,0,24470.67,0.00,0.00,24470.67,1223.60,1223.60,25694.27,-7.27,25687.00,
"-","-","South","MSFT Hyd",2025-10-16,"POS",287.00,132,0,22591.21,0.00,0.00,22591.21,1119.13,1119.13,23710.34,-6.34,23704.00,
"-","-","South","MSFT Hyd",2025-10-17,"POS",238.00,120,0,21551.91,0.00,0.00,21551.91,1077.63,1077.63,22629.54,-7.54,22622.00,
"-","-","South","MSFT Hyd",2025-10-21,"POS",154.00,72,0,12472.22,0.00,0.00,12472.22,623.58,623.58,13095.80,-4.80,13091.00,
"-","-","South","MSFT Hyd",2025-10-22,"POS",225.00,110,0,17442.70,0.00,0.00,17442.70,872.22,872.22,18314.92,-4.92,18310.00,
"-","-","South","MSFT Hyd",2025-10-23,"POS",216.00,105,0,17935.91,0.00,0.00,17935.91,896.82,896.82,18832.73,-4.73,18828.00,
"-","-","South","MSFT Hyd",2025-10-24,"POS",236.00,108,0,19003.13,0.00,0.00,19003.13,950.14,950.14,19953.27,-8.27,19945.00,
"-","-","South","MSFT Hyd",2025-10-27,"POS",249.00,108,0,18570.23,0.00,0.00,18570.23,928.58,928.58,19498.81,-6.81,19492.00,
"-","-","South","MSFT Hyd",2025-10-28,"POS",243.00,114,0,18895.45,0.00,0.00,18895.45,934.40,934.40,19829.85,-3.85,19826.00,
"-","-","South","MSFT Hyd",2025-10-29,"POS",263.00,116,0,19628.07,0.00,0.00,19628.07,981.49,981.49,20609.56,-3.56,20606.00,
"-","-","South","MSFT Hyd",2025-10-30,"POS",341.00,144,0,25773.25,0.00,0.00,25773.25,1288.76,1288.76,27062.01,-8.01,27054.00,
"-","-","South","MSFT Hyd",2025-10-31,"POS",368.00,176,0,31091.51,0.00,0.00,31091.51,1544.19,1544.19,32635.70,-12.70,32623.00,

