  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-11-03,"POS",223.00,122,0,21062.59,0.00,0.00,21062.59,1053.22,1053.22,22115.81,-7.81,22108.00,
"-","-","South","MSFT Hyd",2025-11-04,"POS",344.00,148,0,25146.18,0.00,0.00,25146.18,1246.94,1246.94,26393.12,-8.12,26385.00,
"-","-","South","MSFT Hyd",2025-11-05,"POS",360.00,160,0,28509.41,0.00,0.00,28509.41,1425.56,1425.56,29934.97,-10.97,29924.00,
"-","-","South","MSFT Hyd",2025-11-06,"POS",391.00,159,0,28400.73,0.00,0.00,28400.73,1409.75,1409.75,29810.48,-3.48,29807.00,
"-","-","South","MSFT Hyd",2025-11-07,"POS",405.00,177,0,30891.10,0.00,0.00,30891.10,1534.30,1534.30,32425.40,-5.40,32420.00,
"-","-","South","MSFT Hyd",2025-11-10,"POS",341.00,143,0,24546.44,0.00,0.00,24546.44,1227.44,1227.44,25773.88,-6.88,25767.00,
"-","-","South","MSFT Hyd",2025-11-11,"POS",385.00,169,0,30675.05,0.00,0.00,30675.05,1523.43,1523.43,32198.48,-10.48,32188.00,
"-","-","South","MSFT Hyd",2025-11-12,"POS",388.00,186,0,31241.96,0.00,0.00,31241.96,1527.82,1527.82,32769.78,-11.78,32758.00,
"-","-","South","MSFT Hyd",2025-11-13,"POS",393.00,192,0,31978.61,0.00,0.00,31978.61,1588.50,1588.50,33567.11,-9.11,33558.00,
"-","-","South","MSFT Hyd",2025-11-14,"POS",467.00,206,0,36329.93,0.00,0.00,36329.93,1806.26,1806.26,38136.19,-8.19,38128.00,
"-","-","South","MSFT Hyd",2025-11-17,"POS",347.00,153,0,25493.03,0.00,0.00,25493.03,1274.83,1274.83,26767.86,-5.86,26762.00,
"-","-","South","MSFT Hyd",2025-11-18,"POS",355.00,161,0,27547.71,0.00,0.00,27547.71,1367.06,1367.06,28914.77,-8.77,28906.00,
"-","-","South","MSFT Hyd",2025-11-19,"POS",357.00,162,0,27279.74,0.00,0.00,27279.74,1364.14,1364.14,28643.88,-11.88,28632.00,
"-","-","South","MSFT Hyd",2025-11-20,"POS",410.00,195,0,33330.58,0.00,0.00,33330.58,1656.19,1656.19,34986.77,-13.77,34973.00,
"-","-","South","MSFT Hyd",2025-11-21,"POS",450.00,201,0,36331.43,0.00,0.00,36331.43,1806.20,1806.20,38137.63,-11.63,38126.00,
"-","-","South","MSFT Hyd",2025-11-24,"POS",326.00,150,0,25971.33,0.00,0.00,25971.33,1277.75,1277.75,27249.08,-7.08,27242.00,
"-","-","South","MSFT Hyd",2025-11-25,"POS",405.00,172,0,30324.16,0.00,0.00,30324.16,1505.88,1505.88,31830.04,-10.04,31820.00,
"-","-","South","MSFT Hyd",2025-11-26,"POS",407.00,181,0,32058.03,0.00,0.00,32058.03,1592.52,1592.52,33650.55,-9.55,33641.00,
"-","-","South","MSFT Hyd",2025-11-27,"POS",370.00,168,0,29123.83,0.00,0.00,29123.83,1456.31,1456.31,30580.14,-9.14,30571.00,
"-","-","South","MSFT Hyd",2025-11-28,"POS",413.00,187,0,33168.98,0.00,0.00,33168.98,1658.59,1658.59,34827.57,-9.57,34818.00,

