All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"Zomato",28.00,19,0,8360.00,3760.00,380.00,0,0,0,0,0,0,0,380.00,4600.00,249.00,0,0,0,249.00,5229.00,0.00,5229.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"POS",125.00,57,0,30771.54,1841.75,0,0,0,0,0,0,0,0,0.00,28929.79,0,1446.53,0,0,1446.53,30376.32,6.68,30383.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"Swiggy",12.00,6,0,3010.86,1319.62,0,180.00,0,0,0,0,0,0,180.00,1691.24,93.56,0,0,0,93.56,1964.80,0.20,1965.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-01,"Mobile App",3.00,3,0,230.00,131.00,0,0,5.00,0,0,0,0,0,5.00,99.00,0,5.85,0,0,5.85,109.85,0.15,110.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"Swiggy",14.00,8,0,4451.61,1504.99,0,240.00,0,0,0,0,0,0,240.00,2946.62,159.34,0,0,0,159.34,3345.96,0.04,3346.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"POS",118.00,49,0,29220.05,2145.15,0,0,0,0,0,0,0,0,0.00,27074.90,0,1340.30,0,0,1340.30,28415.20,3.80,28419.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"Zomato",25.00,17,0,6940.39,3202.68,340.00,0,0,0,0,0,0,0,340.00,3737.71,199.29,0,16.56,0,215.85,4293.56,1.44,4295.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-02,"Mobile App",10.00,9,0,2130.00,1147.00,0,0,35.00,0,0,0,0,0,35.00,983.00,0,55.45,0,0,55.45,1073.45,0.55,1074.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"Zomato",21.00,14,0,6610.00,2650.00,280.00,0,0,0,0,0,0,0,280.00,3960.00,212.00,0,0,0,212.00,4452.00,1.00,4453.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"POS",86.00,48,0,21148.05,2380.35,0,0,0,0,0,0,0,0,0.00,18767.70,0,924.95,0,0,924.95,19692.65,6.35,19699.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"Swiggy",11.00,4,0,3520.00,1304.48,0,120.00,0,0,0,0,0,0,120.00,2215.52,116.77,0,0,0,116.77,2452.29,0.71,2453.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-03,"Mobile App",3.00,3,0,690.00,492.00,0,0,10.00,0,0,0,0,0,10.00,198.00,0,11.70,0,0,11.70,219.70,0.30,220.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"POS",106.00,56,0,25597.30,1591.80,0,0,0,0,0,0,0,0,0.00,24005.50,0,1200.29,0,0,1200.29,25205.79,6.21,25212.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"Swiggy",18.00,9,0,5320.00,1964.99,0,270.00,0,0,0,0,0,0,270.00,3355.01,181.26,0,0,0,181.26,3806.27,1.73,3808.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"Zomato",22.00,16,0,6090.00,2550.00,320.00,0,0,0,0,0,0,0,320.00,3540.00,193.00,0,0,0,193.00,4053.00,4.00,4057.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-04,"Mobile App",6.00,6,0,1380.00,1051.00,0,0,10.00,0,0,0,0,0,10.00,329.00,0,18.25,0,0,18.25,357.25,-0.25,357.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"POS",100.00,52,0,20709.30,1008.75,0,0,0,0,0,0,0,0,0.00,19700.55,0,985.03,0,0,985.03,20685.58,7.42,20693.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"Zomato",30.00,17,0,8990.00,3935.00,340.00,0,0,0,0,0,0,0,340.00,5055.00,269.74,0,0,0,269.74,5664.74,1.26,5666.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"Swiggy",6.00,4,0,1640.00,786.00,0,120.00,0,0,0,0,0,0,120.00,854.00,48.70,0,0,0,48.70,1022.70,0.30,1023.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-05,"Mobile App",3.00,2,0,910.00,330.00,0,0,5.00,0,0,0,0,0,5.00,580.00,0,29.90,0,0,29.90,614.90,0.10,615.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"POS",130.00,61,0,29184.28,1665.75,0,0,0,0,0,0,0,0,0.00,27518.53,0,1375.97,0,0,1375.97,28894.50,4.50,28899.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"Zomato",21.00,13,0,6260.00,2140.00,260.00,0,0,0,0,0,0,0,260.00,4120.00,219.00,0,0,0,219.00,4599.00,1.00,4600.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"Mobile App",2.00,1,0,290.00,30.00,0,0,5.00,0,0,0,0,0,5.00,260.00,0,13.90,0,0,13.90,278.90,0.10,279.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-06,"Swiggy",2.00,1,0,640.00,215.00,0,30.00,0,0,0,0,0,0,30.00,425.00,22.75,0,0,0,22.75,477.75,0.25,478.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"POS",122.00,60,0,27922.10,2106.40,0,0,0,0,0,0,0,0,0.00,25815.70,0,1290.80,0,0,1290.80,27106.50,7.50,27114.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"Zomato",27.00,13,0,7616.11,2571.99,260.00,0,0,0,0,0,0,0,260.00,5044.12,265.21,0,0,0,265.21,5569.33,0.67,5570.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"Swiggy-Bolt Urgent",2.00,1,0,500.00,250.00,0,30.00,0,0,0,0,0,0,30.00,250.00,14.00,0,0,0,14.00,294.00,0.00,294.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"Swiggy",12.00,7,0,3735.00,1498.99,0,210.00,0,0,0,0,0,0,210.00,2236.01,122.29,0,0,0,122.29,2568.30,0.70,2569.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-07,"Mobile App",1.00,1,0,230.00,230.00,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"POS",95.00,43,0,22946.00,1994.50,0,0,0,0,0,0,0,0,0.00,20951.50,0,1047.58,0,0,1047.58,21999.08,1.92,22001.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"Zomato",16.00,10,0,4759.32,1997.17,200.00,0,0,0,0,0,0,0,200.00,2762.15,148.12,0,0,0,148.12,3110.27,-0.27,3110.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"Swiggy",1.00,1,0,250.00,125.00,0,30.00,0,0,0,0,0,0,30.00,125.00,7.75,0,0,0,7.75,162.75,0.25,163.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-08,"Mobile App",1.00,1,0,230.00,131.00,0,0,5.00,0,0,0,0,0,5.00,99.00,0,5.85,0,0,5.85,109.85,0.15,110.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"Zomato",13.00,6,0,3678.33,1799.17,120.00,0,0,0,0,0,0,0,120.00,1879.16,99.96,0,0,0,99.96,2099.12,1.88,2101.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"POS",94.00,48,0,20070.87,2677.09,0,0,0,0,0,0,0,0,0.00,17393.78,0,869.74,0,0,869.74,18263.52,3.48,18267.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"Swiggy",4.00,2,0,1190.00,570.00,0,60.00,0,0,0,0,0,0,60.00,620.00,34.00,0,0,0,34.00,714.00,1.00,715.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"Swiggy-Bolt Urgent",1.00,1,0,310.00,155.00,0,30.00,0,0,0,0,0,0,30.00,155.00,9.25,0,0,0,9.25,194.25,-0.25,194.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-09,"Mobile App",3.00,3,0,690.00,492.00,0,0,10.00,0,0,0,0,0,10.00,198.00,0,11.70,0,0,11.70,219.70,0.30,220.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"Zomato",31.00,14,0,8956.90,3275.00,280.00,0,0,0,0,0,0,0,280.00,5681.90,298.11,0,0,0,298.11,6260.01,0.99,6261.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"Swiggy-Bolt Urgent",1.00,1,0,280.00,115.00,0,30.00,0,0,0,0,0,0,30.00,165.00,9.75,0,0,0,9.75,204.75,0.25,205.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"POS",66.00,37,0,16621.00,1477.00,0,0,0,0,0,0,0,0,0.00,15144.00,0,757.21,0,0,757.21,15901.21,4.79,15906.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"Mobile App",1.00,1,0,230.00,131.00,0,0,5.00,0,0,0,0,0,5.00,99.00,0,5.85,0,0,5.85,109.85,0.15,110.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-10,"Swiggy",11.00,6,0,3540.00,1576.70,0,180.00,0,0,0,0,0,0,180.00,1963.30,107.16,0,0,0,107.16,2250.46,0.54,2251.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"POS",107.00,49,0,24612.83,2112.20,0,0,0,321.07,0,0,0,0,321.07,22500.63,0,1141.13,0,0,1141.13,23962.83,5.17,23968.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"Zomato",16.00,11,0,4485.00,2097.50,220.00,0,0,0,0,0,0,0,220.00,2387.50,130.38,0,0,0,130.38,2737.88,2.12,2740.00,
"-","-","North","Coffee Island Beyond GK II",2025-12-11,"Swiggy",13.00,9,0,3870.00,1706.00,0,240.00,0,0,0,0,0,0,240.00,2164.00,120.20,0,0,0,120.20,2524.20,1.80,2526.00,
