  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","South","MSFT Hyd",2025-12-01,"POS",354.00,140,0,24248.92,0.00,0.00,24248.92,1212.55,1212.55,25461.47,-5.47,25456.00,
"-","-","South","MSFT Hyd",2025-12-02,"POS",353.00,155,0,26382.61,0.00,0.00,26382.61,1319.24,1319.24,27701.85,-11.85,27690.00,
"-","-","South","MSFT Hyd",2025-12-03,"POS",388.00,154,0,26064.85,0.00,0.00,26064.85,1303.31,1303.31,27368.16,-5.16,27363.00,
"-","-","South","MSFT Hyd",2025-12-04,"POS",443.00,189,0,33239.53,0.00,0.00,33239.53,1662.10,1662.10,34901.63,-11.63,34890.00,
"-","-","South","MSFT Hyd",2025-12-05,"POS",470.00,181,0,31122.69,0.00,0.00,31122.69,1556.28,1556.28,32678.97,-5.97,32673.00,
"-","-","South","MSFT Hyd",2025-12-08,"POS",371.00,149,0,26847.67,0.00,0.00,26847.67,1342.45,1342.45,28190.12,-11.12,28179.00,
"-","-","South","MSFT Hyd",2025-12-09,"POS",402.00,168,0,29460.42,0.00,0.00,29460.42,1473.07,1473.06,30933.48,-10.48,30923.00,
"-","-","South","MSFT Hyd",2025-12-10,"POS",445.00,181,0,31011.94,0.00,0.00,31011.94,1550.74,1550.73,32562.67,-7.67,32555.00,
"-","-","South","MSFT Hyd",2025-12-11,"POS",391.00,168,0,28610.19,0.00,0.00,28610.19,1430.66,1430.65,30040.84,-11.84,30029.00,
"-","-","South","MSFT Hyd",2025-12-12,"POS",519.00,214,0,38335.06,0.00,0.00,38335.06,1916.90,1916.89,40251.95,-9.95,40242.00,
"-","-","South","MSFT Hyd",2025-12-15,"POS",373.00,155,0,27065.50,0.00,0.00,27065.50,1353.37,1353.36,28418.86,-10.86,28408.00,
"-","-","South","MSFT Hyd",2025-12-16,"POS",403.00,170,0,30538.30,0.00,0.00,30538.30,1527.00,1526.99,32065.29,-12.29,32053.00,
"-","-","South","MSFT Hyd",2025-12-17,"POS",400.00,174,0,29394.95,0.00,0.00,29394.95,1469.88,1469.87,30864.82,-8.82,30856.00,
"-","-","South","MSFT Hyd",2025-12-18,"POS",430.00,184,0,31123.99,0.00,0.00,31123.99,1556.31,1556.30,32680.29,-11.29,32669.00,
"-","-","South","MSFT Hyd",2025-12-19,"POS",396.00,165,0,27950.90,0.00,0.00,27950.90,1397.66,1397.65,29348.55,-4.55,29344.00,
"-","-","South","MSFT Hyd",2025-12-22,"POS",320.00,138,0,23840.83,0.00,0.00,23840.83,1192.15,1192.15,25032.98,-7.98,25025.00,
"-","-","South","MSFT Hyd",2025-12-23,"POS",345.00,152,0,26085.79,0.00,0.00,26085.79,1304.32,1304.31,27390.10,-13.10,27377.00,
"-","-","South","MSFT Hyd",2025-12-24,"POS",405.00,176,0,30091.65,0.00,0.00,30091.65,1504.66,1504.65,31596.30,-13.30,31583.00,
"-","-","South","MSFT Hyd",2025-12-26,"POS",410.00,171,0,30504.77,0.00,0.00,30504.77,1525.27,1525.26,32030.03,-11.03,32019.00,
"-","-","South","MSFT Hyd",2025-12-29,"POS",315.00,149,0,25796.79,0.00,0.00,25796.79,1289.84,1289.83,27086.62,-15.62,27071.00,
"-","-","South","MSFT Hyd",2025-12-30,"POS",353.00,150,0,25488.18,0.00,0.00,25488.18,1274.49,1274.48,26762.66,-10.66,26752.00,
"-","-","South","MSFT Hyd",2025-12-31,"POS",428.00,192,0,32642.15,0.00,0.00,32642.15,1632.22,1632.21,34274.36,-14.36,34260.00,

