All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Staff Welfare,Restaurant Packaging Charges,Restaurant Charge,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,Packaging charge@30Rs,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"Swiggy",12.00,5,0,3744.00,1649.86,100.00,0,0,0,0,0,0,100.00,2094.14,109.70,0,0,0,0,109.70,2303.84,0.16,2304.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"POS",174.00,63,0,43658.20,2100.25,0,1773.69,0,0,0,0,0,1773.69,41557.95,0,2166.65,0,0,0,2166.65,45498.29,3.71,45502.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"QR",22.00,7,0,7355.00,622.50,0,297.00,0,0,0,0,0,297.00,6732.50,0,351.53,0,0,0,351.53,7381.03,1.97,7383.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-01,"Zomato",21.00,11,0,5770.61,1944.00,0,0,220.00,0,0,0,0,220.00,3826.61,198.19,0,14.96,0,0,213.15,4259.76,2.24,4262.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"POS",172.00,56,0,45768.46,3280.25,0,1734.37,0,0,0,0,0,1734.37,42488.21,0,2211.25,0,0,0,2211.25,46433.83,6.17,46440.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"Zomato",28.00,15,0,8973.00,3272.00,0,0,300.00,0,0,0,0,300.00,5701.00,300.05,0,0,0,0,300.05,6301.05,0.95,6302.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"Swiggy",11.00,6,0,3210.00,1315.00,120.00,0,0,0,0,0,0,120.00,1895.00,100.75,0,0,0,0,100.75,2115.75,0.25,2116.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"QR",16.00,6,0,4515.00,310.00,0,183.25,0,0,0,0,0,183.25,4205.00,0,219.44,0,0,0,219.44,4607.69,-0.69,4607.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-02,"Mobile App",2.00,1,0,510.00,100.00,0,0,0,5.00,0,0,0,5.00,410.00,0,21.41,0,0,0,21.41,436.41,-0.41,436.00,
"-","-","North","Coffee Island Beyond GK II",2026-01-03,"Zomato",23.00,12,0,7829.00,2282.00,0,0,240.00,0,0,0,0,240.00,5547.00,289.35,0,0,0,0,289.35,6076.35,2.65,6079.00,
