Generated On: 2026-02-02 01:15:23 pm

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Staff Welfare,Packaging Charge [CART - SWIGGY],Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,
-,-,North,Coffee Island Beyond GK II,2026-02-01,Zomato,19.00,15,0,6006.00,1732.00,300.00,0,0,300.00,4274.00,228.71,0,0,228.71,4802.71,1.29,4804.00,
-,-,North,Coffee Island Beyond GK II,2026-02-01,POS,157.00,65,0,39499.56,2548.00,0,1624.27,0,1624.27,36951.56,0,1928.88,0,1928.88,40504.71,2.29,40507.00,
-,-,North,Coffee Island Beyond GK II,2026-02-01,Swiggy,14.00,9,0,4447.47,879.94,0,0,180.00,180.00,3567.53,187.38,0,0,187.38,3934.91,2.09,3937.00,
-,-,North,Coffee Island Beyond GK II,2026-02-01,QR,4.00,2,0,1140.00,0.00,0,57.00,0,57.00,1140.00,0,59.85,0,59.85,1256.85,-0.85,1256.00,
-,-,North,Coffee Island HQ-27,2026-02-01,Swiggy,23.00,11,0,6385.85,2739.57,0,0,220.00,220.00,3646.28,188.25,0,18.30,206.55,4072.83,-0.83,4072.00,
-,-,North,Coffee Island HQ-27,2026-02-01,POS,98.00,38,0,23136.28,3011.35,0,0,0,0.00,20124.93,0,998.18,29.09,1027.27,21152.20,4.80,21157.00,
-,-,North,Coffee Island HQ-27,2026-02-01,Zomato,18.00,7,0,5045.00,2359.00,140.00,0,0,140.00,2686.00,141.30,0,0,141.30,2967.30,0.70,2968.00,
-,-,North,Coffee Island HQ-27,2026-02-01,Swiggy-Bolt Urgent,6.00,4,0,1700.00,735.00,0,0,80.00,80.00,965.00,52.25,0,0,52.25,1097.25,1.75,1099.00,
-,-,North,Coffee Island HQ-27,2026-02-01,QR,65.00,21,0,19241.43,5211.81,0,0,0,0.00,14029.62,0,701.53,0,701.53,14731.15,2.85,14734.00,
-,-,North,Coffee Island HQ-27,2026-02-01,MagicPin-Ordering,1.00,1,0,128.57,3.00,0,0,0,0.00,125.57,6.28,0,0,6.28,131.85,0.15,132.00,
-,-,North,Coffee Island AIPL,2026-02-01,Zomato,18.00,10,0,5875.00,2414.50,200.00,0,0,200.00,3460.50,183.03,0,0,183.03,3843.53,1.47,3845.00,
-,-,North,Coffee Island AIPL,2026-02-01,POS,118.00,51,0,31126.09,5344.05,0,0,0,0.00,25782.04,0,1289.11,0,1289.11,27071.15,5.85,27077.00,
-,-,North,Coffee Island AIPL,2026-02-01,Swiggy,17.00,9,0,5629.75,2489.43,0,0,180.00,180.00,3140.32,166.03,0,0,166.03,3486.35,0.65,3487.00,
-,-,North,Coffee Island AIPL,2026-02-01,Mobile App,3.00,2,0,439.00,0.00,0,0,0,0.00,439.00,0,21.95,0,21.95,460.95,0.05,461.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,Zomato,10.00,5,0,3117.29,1097.00,100.00,0,0,100.00,2020.29,106.03,0,0,106.03,2226.32,1.68,2228.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,QR,185.00,73,0,51931.75,511.00,0,0,0,0.00,51420.75,0,2571.04,0,2571.04,53991.79,17.21,54009.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,POS,82.00,45,0,21265.38,1334.00,0,0,0,0.00,19931.38,0,901.36,342.75,1244.11,21175.49,4.51,21180.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-01,Swiggy,6.00,3,0,1870.00,911.50,0,0,60.00,60.00,958.50,50.93,0,0,50.93,1069.43,-0.43,1069.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,POS,123.00,61,0,31695.71,979.00,0,0,0,0.00,30716.71,0,1535.85,0,1535.85,32252.56,13.44,32266.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,Zomato,2.00,1,0,820.00,175.00,20.00,0,0,20.00,645.00,33.25,0,0,33.25,698.25,-0.25,698.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,Swiggy,12.00,7,0,3890.00,1327.98,0,0,140.00,140.00,2562.02,135.11,0,0,135.11,2837.13,0.87,2838.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-01,Mobile App,8.00,4,0,1770.00,344.00,0,0,0,0.00,1426.00,0,67.55,13.53,81.08,1507.08,-0.08,1507.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,QR,54.00,26,0,16529.00,0.00,0,0,0,0.00,16529.00,0,826.45,0,826.45,17355.45,7.55,17363.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,POS,218.00,93,0,55972.91,917.00,0,0,0,0.00,55055.91,0,2752.82,0,2752.82,57808.73,19.27,57828.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,Swiggy,9.00,5,0,2779.00,1089.99,0,0,100.00,100.00,1689.01,89.45,0,0,89.45,1878.46,0.54,1879.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,Zomato,20.00,14,0,6154.00,2775.00,0,0,0,0.00,3379.00,168.95,0,0,168.95,3547.95,2.05,3550.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-01,Mobile App,3.00,2,0,920.00,440.00,0,0,0,0.00,480.00,0,24.00,0,24.00,504.00,0.00,504.00,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,Zomato,1.00,1,0,280.00,140.00,0,0,0,0.00,140.00,7.00,0,0,7.00,147.00,0.00,147.00,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,POS,138.00,68,0,36942.41,665.00,0,0,0,0.00,36277.41,0,1813.91,0,1813.91,38091.32,15.68,38107.00,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-01,Swiggy,4.00,2,0,1205.00,424.99,0,0,40.00,40.00,780.01,39.00,0,0,39.00,859.01,-0.01,859.00,
-,-,North,Coffee Island NSP - New Delhi,2026-02-01,POS,154.00,70,0,39465.12,7737.00,0,0,0,0.00,31728.12,0,1586.44,0,1586.44,33314.56,7.44,33322.00,
