Generated On: 2026-02-03 10:51:04 am

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Staff Welfare,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Charges,Net Sale,GST @5%,ECom_GST@5%,GST @18%,Total Tax,Total Amount,Round Off,Gross Amount,
-,-,North,Coffee Island Beyond GK II,2026-02-02,POS,91.00,49,0,22388.81,953.50,865.85,0,0,865.85,21435.31,1115.13,0,0,1115.13,23416.29,7.71,23424.00,
-,-,North,Coffee Island Beyond GK II,2026-02-02,Zomato,22.00,12,0,6450.42,2662.00,0,240.00,0,240.00,3788.42,0,201.42,0,201.42,4229.84,0.16,4230.00,
-,-,North,Coffee Island Beyond GK II,2026-02-02,Swiggy,3.00,3,0,978.00,325.00,0,0,60.00,60.00,653.00,0,35.65,0,35.65,748.65,0.35,749.00,
-,-,North,Coffee Island Beyond GK II,2026-02-02,Mobile App,4.00,2,0,990.00,497.00,0,0,0,0.00,493.00,24.65,0,0,24.65,517.65,0.35,518.00,
-,-,North,Coffee Island Beyond GK II,2026-02-02,QR,3.00,1,0,1060.00,0.00,34.00,0,0,34.00,1060.00,54.70,0,0,54.70,1148.70,0.30,1149.00,
-,-,North,Coffee Island HQ-27,2026-02-02,Zomato,32.00,20,0,8940.00,4059.00,0,400.00,0,400.00,4881.00,0,264.05,0,264.05,5545.05,1.95,5547.00,
-,-,North,Coffee Island HQ-27,2026-02-02,POS,84.00,37,0,19640.00,2182.00,0,0,0,0.00,17458.00,872.93,0,0,872.93,18330.93,7.07,18338.00,
-,-,North,Coffee Island HQ-27,2026-02-02,Swiggy,25.00,13,0,7544.00,2839.65,0,0,260.00,260.00,4704.35,0,248.21,0,248.21,5212.56,-0.56,5212.00,
-,-,North,Coffee Island HQ-27,2026-02-02,Swiggy-Bolt Urgent,9.00,6,0,2475.00,1237.50,0,0,120.00,120.00,1237.50,0,67.88,0,67.88,1425.38,0.62,1426.00,
-,-,North,Coffee Island HQ-27,2026-02-02,Mobile App,6.00,4,0,1170.00,162.00,0,0,0,0.00,1008.00,50.40,0,0,50.40,1058.40,0.60,1059.00,
-,-,North,Coffee Island HQ-27,2026-02-02,QR,10.00,5,0,2545.00,74.00,0,0,0,0.00,2471.00,123.55,0,0,123.55,2594.55,0.45,2595.00,
-,-,North,Coffee Island AIPL,2026-02-02,Zomato,13.00,8,0,3575.00,1411.50,0,160.00,0,160.00,2163.50,0,116.19,0,116.19,2439.69,0.31,2440.00,
-,-,North,Coffee Island AIPL,2026-02-02,POS,35.00,22,0,8293.00,562.50,0,0,0,0.00,7730.50,386.52,0,0,386.52,8117.02,4.98,8122.00,
-,-,North,Coffee Island AIPL,2026-02-02,Swiggy,6.00,4,0,1925.00,772.50,0,0,80.00,80.00,1152.50,0,61.63,0,61.63,1294.13,0.87,1295.00,
-,-,North,Coffee Island AIPL,2026-02-02,Mobile App,2.00,1,0,459.00,0.00,0,0,0,0.00,459.00,22.95,0,0,22.95,481.95,0.05,482.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,POS,37.00,19,0,8075.24,666.50,0,0,0,0.00,7408.74,370.45,0,0,370.45,7779.19,1.81,7781.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,QR,41.00,21,0,11900.00,564.00,0,0,0,0.00,11336.00,566.80,0,0,566.80,11902.80,4.20,11907.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,Zomato,6.00,3,0,1900.00,950.00,0,60.00,0,60.00,950.00,0,50.50,0,50.50,1060.50,0.50,1061.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-02,Swiggy,1.00,1,0,250.00,125.00,0,0,20.00,20.00,125.00,0,7.25,0,7.25,152.25,-0.25,152.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-02,POS,30.00,17,0,7731.33,128.00,0,0,0,0.00,7603.33,380.17,0,0,380.17,7983.50,2.50,7986.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-02,Zomato,9.00,5,0,3040.00,1210.00,0,100.00,0,100.00,1830.00,0,96.50,0,96.50,2026.50,1.50,2028.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-02,Swiggy,4.00,4,0,1300.00,410.00,0,0,80.00,80.00,890.00,0,48.50,0,48.50,1018.50,0.50,1019.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,POS,164.00,89,0,37351.46,428.00,0,0,0,0.00,36923.46,1846.19,0,0,1846.19,38769.65,16.35,38786.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,QR,18.00,13,0,5170.00,126.00,0,0,0,0.00,5044.00,252.20,0,0,252.20,5296.20,3.80,5300.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,Swiggy,15.00,10,0,4583.00,1995.00,0,0,200.00,200.00,2588.00,0,139.40,0,139.40,2927.40,1.60,2929.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,Zomato,18.00,12,0,5839.00,2368.60,0,0,0,0.00,3470.40,0,173.55,0,173.55,3643.95,-0.95,3643.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-02,Mobile App,1.00,1,0,210.00,72.00,0,0,0,0.00,138.00,6.90,0,0,6.90,144.90,0.10,145.00,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-02,Zomato,3.00,3,0,880.00,440.00,0,0,0,0.00,440.00,0,22.00,0,22.00,462.00,0.00,462.00,
-,-,West,Coffee Island Phoenix Market City - Mumbai,2026-02-02,POS,32.00,18,0,7995.24,250.00,0,0,0,0.00,7745.24,346.84,0,145.54,492.38,8237.62,2.38,8240.00,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,POS,72.00,37,0,17127.28,437.00,0,0,0,0.00,16690.28,834.53,0,0,834.53,17524.81,8.19,17533.00,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,Swiggy,17.00,9,0,4990.00,1942.50,0,0,180.00,180.00,3047.50,0,152.38,0,152.38,3379.88,1.12,3381.00,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,Mobile App,2.00,1,0,428.10,94.50,0,0,0,0.00,333.60,16.68,0,0,16.68,350.28,-0.28,350.00,
-,-,North,Coffee Island NSP - New Delhi,2026-02-02,Zomato,12.00,5,0,3190.00,1595.00,0,100.00,0,100.00,1595.00,0,84.75,0,84.75,1779.75,1.25,1781.00,


