Generated On: 2026-02-04 10:26:54 am

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Staff Welfare,Packaging Charge [CART - SWIGGY],Restaurant Packaging Charges,Charges,Net Sale,GST @5%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
-,-,North,Coffee Island Beyond GK II,2026-02-03,POS,150.00,60,0,39472.56,2839.02,1529.03,0,0,1529.03,36633.54,1903.45,17.14,0,1920.59,40083.16,4.84,40088.00,
-,-,North,Coffee Island Beyond GK II,2026-02-03,Swiggy-Bolt Urgent,2.00,1,0,720.00,360.00,0,20.00,0,20.00,360.00,0,0,19.00,19.00,399.00,0.00,399.00,
-,-,North,Coffee Island Beyond GK II,2026-02-03,Zomato,41.00,21,0,11718.57,5080.00,0,0,420.00,420.00,6638.57,0,0,352.92,352.92,7411.49,4.51,7416.00,
-,-,North,Coffee Island Beyond GK II,2026-02-03,Swiggy,7.00,4,0,2370.00,908.99,0,80.00,0,80.00,1461.01,0,0,77.05,77.05,1618.06,-0.06,1618.00,
-,-,North,Coffee Island Beyond GK II,2026-02-03,QR,5.00,3,0,1590.00,29.00,46.50,0,0,46.50,1561.00,80.38,0,0,80.38,1687.88,0.12,1688.00,
-,-,North,Coffee Island HQ-27,2026-02-03,Zomato,32.00,12,0,9094.33,4040.00,0,0,240.00,240.00,5054.33,0,0,264.72,264.72,5559.05,2.95,5562.00,
-,-,North,Coffee Island HQ-27,2026-02-03,QR,15.00,8,0,4150.00,316.50,0,0,0,0.00,3833.50,191.69,0,0,191.69,4025.19,0.81,4026.00,
-,-,North,Coffee Island HQ-27,2026-02-03,POS,90.00,39,0,21501.88,2175.18,0,0,0,0.00,19326.70,941.07,91.17,0,1032.24,20358.94,6.06,20365.00,
-,-,North,Coffee Island HQ-27,2026-02-03,Swiggy-Bolt Urgent,11.00,7,0,3235.00,1527.50,0,140.00,0,140.00,1707.50,0,0,92.38,92.38,1939.88,1.12,1941.00,
-,-,North,Coffee Island HQ-27,2026-02-03,Swiggy,13.00,9,0,4083.00,1574.99,0,180.00,0,180.00,2508.01,0,0,134.40,134.40,2822.41,0.59,2823.00,
-,-,North,Coffee Island AIPL,2026-02-03,Swiggy,16.00,9,0,4605.00,2326.49,0,180.00,0,180.00,2278.51,0,0,122.93,122.93,2581.44,0.56,2582.00,
-,-,North,Coffee Island AIPL,2026-02-03,POS,47.00,22,0,11872.10,526.00,0,0,0,0.00,11346.10,567.32,0,0,567.32,11913.42,1.58,11915.00,
-,-,North,Coffee Island AIPL,2026-02-03,QR,10.00,5,0,2580.00,98.00,0,0,0,0.00,2482.00,124.10,0,0,124.10,2606.10,0.90,2607.00,
-,-,North,Coffee Island AIPL,2026-02-03,Zomato,8.00,5,0,2509.00,472.00,0,0,100.00,100.00,2037.00,0,0,106.86,106.86,2243.86,1.14,2245.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,POS,51.00,33,0,9800.01,249.00,0,0,0,0.00,9551.01,477.56,0,0,477.56,10028.57,6.43,10035.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,QR,52.00,21,0,15015.71,499.00,0,0,0,0.00,14516.71,725.84,0,0,725.84,15242.55,6.45,15249.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-03,Zomato,6.00,3,0,1890.00,715.00,0,0,60.00,60.00,1175.00,0,0,61.75,61.75,1296.75,0.25,1297.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,POS,56.00,31,0,13482.00,727.50,0,0,0,0.00,12754.50,637.74,0,0,637.74,13392.24,5.76,13398.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,Swiggy,8.00,5,0,2611.95,905.00,0,100.00,0,100.00,1706.95,0,0,90.34,90.34,1897.29,0.71,1898.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-03,Zomato,19.00,8,0,5585.00,2517.00,0,0,160.00,160.00,3068.00,0,0,161.40,161.40,3389.40,0.60,3390.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,POS,147.00,85,0,35340.66,588.00,0,0,0,0.00,34752.66,1737.66,0,0,1737.66,36490.32,15.68,36506.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,QR,34.00,13,0,10855.00,0.00,0,0,0,0.00,10855.00,542.75,0,0,542.75,11397.75,2.25,11400.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,Zomato,24.00,13,0,6624.44,2922.00,0,0,0,0.00,3702.44,0,0,185.13,185.13,3887.57,2.43,3890.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,Swiggy,30.00,21,0,9267.00,4188.50,0,420.00,0,420.00,5078.50,0,0,274.92,274.92,5773.42,1.58,5775.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,Mobile App,4.00,4,0,1020.00,32.00,0,0,0,0.00,988.00,49.40,0,0,49.40,1037.40,0.60,1038.00,
-,-,West,Coffee Island Eros Churchgate - Mumbai,2026-02-03,Swiggy-Bolt Urgent,1.00,1,0,300.00,150.00,0,20.00,0,20.00,150.00,0,0,8.50,8.50,178.50,0.50,179.00,
