Generated On: 2026-02-05 01:49:36 pm

*All the values shown here are in INR,


Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Staff Welfare,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Charges,Net Sale,GST @5%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
-,-,North,Coffee Island Beyond GK II,2026-02-04,POS,131.00,52,0,32217.23,1312.00,1282.47,0,0,1282.47,30905.23,1586.17,83.74,0,1669.91,33857.61,5.39,33863.00,
-,-,North,Coffee Island Beyond GK II,2026-02-04,Zomato,14.00,8,0,3892.57,1330.00,0,160.00,0,160.00,2562.57,0,0,136.13,136.13,2858.70,2.30,2861.00,
-,-,North,Coffee Island Beyond GK II,2026-02-04,Swiggy,8.00,4,0,2239.17,559.98,0,0,80.00,80.00,1679.19,0,0,87.96,87.96,1847.15,-0.15,1847.00,
-,-,North,Coffee Island Beyond GK II,2026-02-04,QR,3.00,1,0,1360.00,340.00,68.00,0,0,68.00,1020.00,54.41,0,0,54.41,1142.41,-0.41,1142.00,
-,-,North,Coffee Island HQ-27,2026-02-04,POS,129.00,52,0,32391.91,2943.24,0,0,0,0.00,29448.67,1472.55,0,0,1472.55,30921.22,5.78,30927.00,
-,-,North,Coffee Island HQ-27,2026-02-04,Swiggy,16.00,10,0,4945.00,2350.00,0,0,200.00,200.00,2595.00,0,0,139.75,139.75,2934.75,2.25,2937.00,
-,-,North,Coffee Island HQ-27,2026-02-04,Zomato,20.00,14,0,6110.00,2857.00,0,280.00,0,280.00,3253.00,0,0,176.66,176.66,3709.66,1.34,3711.00,
-,-,North,Coffee Island HQ-27,2026-02-04,QR,15.00,7,0,4090.00,33.00,0,0,0,0.00,4057.00,202.85,0,0,202.85,4259.85,1.15,4261.00,
-,-,North,Coffee Island HQ-27,2026-02-04,Swiggy-Bolt Urgent,3.00,2,0,970.00,370.00,0,0,40.00,40.00,600.00,0,0,32.00,32.00,672.00,1.00,673.00,
-,-,North,Coffee Island HQ-27,2026-02-04,Mobile App,2.00,2,0,520.00,130.00,0,0,0,0.00,390.00,19.50,0,0,19.50,409.50,0.50,410.00,
-,-,North,Coffee Island AIPL,2026-02-04,Mobile App,2.00,1,0,540.00,100.00,0,0,0,0.00,440.00,22.00,0,0,22.00,462.00,0.00,462.00,
-,-,North,Coffee Island AIPL,2026-02-04,Swiggy,8.00,6,0,2100.50,649.99,0,0,120.00,120.00,1450.51,0,0,78.53,78.53,1649.04,-0.04,1649.00,
-,-,North,Coffee Island AIPL,2026-02-04,QR,4.00,2,0,1320.00,330.00,0,0,0,0.00,990.00,49.51,0,0,49.51,1039.51,0.49,1040.00,
-,-,North,Coffee Island AIPL,2026-02-04,POS,46.00,20,0,10660.71,430.57,0,0,0,0.00,10230.14,511.52,0,0,511.52,10741.66,2.34,10744.00,
-,-,North,Coffee Island AIPL,2026-02-04,Zomato,14.00,9,0,4745.00,1582.00,0,180.00,0,180.00,3163.00,0,0,167.16,167.16,3510.16,-0.16,3510.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,POS,25.00,18,0,4696.14,85.00,0,0,0,0.00,4611.14,230.56,0,0,230.56,4841.70,3.30,4845.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,Zomato,15.00,11,0,4795.00,2094.00,0,220.00,0,220.00,2701.00,0,0,146.07,146.07,3067.07,-0.07,3067.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,QR,77.00,29,0,22454.84,377.00,0,0,0,0.00,22077.84,1103.89,0,0,1103.89,23181.73,8.27,23190.00,
-,-,West,Coffee Island - Amanora Mall,2026-02-04,Swiggy,2.00,1,0,630.00,315.00,0,0,20.00,20.00,315.00,0,0,16.75,16.75,351.75,0.25,352.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-04,Swiggy,13.00,6,0,4392.00,1888.92,0,0,120.00,120.00,2503.08,0,0,131.15,131.15,2754.23,0.77,2755.00,
-,-,West,Coffee Island - Tribeca Pune,2026-02-04,POS,41.00,27,0,9161.85,360.88,0,0,0,0.00,8800.97,440.06,0,0,440.06,9241.03,3.97,9245.00,
