Date,Reviewer_name,Rating,Comments
,,4.5,"Subhash is an excellent support staff, had our order received flawlessly"
,,4.4,"Subhash is an excellent support staff, had our order received flawlessly"
,Ravi Bodh,5,"Subhash is an excellent support staff, had our order received flawlessly"
37 minutes ago,Priya Singhal,3,service was very slow.. otherwise good
3 days ago,Ramneetsingh.bhatia,5,loved it! thank you Subhash.
6 days ago,Rajat Saini,5,coffee and food was so delicious.payel was so cooperative.✨✨
10 days ago,Sunny Bhardwaj,5,The store manager *Aashiq* is so pleasant that we keep coming back here to this particular outlet.
24 days ago,Sunny Bhardwaj,1,
24 days ago,Sunny Bhardwaj,2,
24 days ago,Sunny Bhardwaj,3,
24 days ago,Sunny Bhardwaj,4,
24 days ago,Sunny Bhardwaj,5,
24 days ago,Sunny Bhardwaj,1,
24 days ago,Sunny Bhardwaj,2,
24 days ago,Sunny Bhardwaj,3,
24 days ago,Sunny Bhardwaj,4,
24 days ago,Sunny Bhardwaj,5,
24 days ago,Sunny Bhardwaj,1,
24 days ago,Sunny Bhardwaj,2,
24 days ago,Sunny Bhardwaj,3,
24 days ago,Sunny Bhardwaj,4,
24 days ago,Sunny Bhardwaj,5,
24 days ago,Sunny Bhardwaj,1,
24 days ago,Sunny Bhardwaj,2,
24 days ago,Sunny Bhardwaj,3,
24 days ago,Sunny Bhardwaj,4,
24 days ago,Sunny Bhardwaj,5,
24 days ago,Sunny Bhardwaj,1,
24 days ago,Sunny Bhardwaj,2,
24 days ago,Sunny Bhardwaj,3,
24 days ago,Sunny Bhardwaj,4,
24 days ago,Sunny Bhardwaj,5,
,,4.5,"Nice coffee, great service. Aashiq Ahmed is very polite and ensures good experience"
,,4.4,"Nice coffee, great service. Aashiq Ahmed is very polite and ensures good experience"
,Raveeshu,5,"Nice coffee, great service. Aashiq Ahmed is very polite and ensures good experience"
29 days ago,Chinkhwa,5,Nice coffee by subhash
one month ago,User,5,everything  is good and nice place for morning coffee and some quick bites
one month ago,Mail.grover,5,Great place to hangout
one month ago,User_10482370,5,
one month ago,User_10482370,1,
one month ago,User_10482370,2,
one month ago,User_10482370,3,
one month ago,User_10482370,4,
one month ago,User_10482370,5,
one month ago,User_10482370,1,
one month ago,User_10482370,2,
one month ago,User_10482370,3,
one month ago,User_10482370,4,
one month ago,User_10482370,5,
one month ago,User_10482370,1,
one month ago,User_10482370,2,
one month ago,User_10482370,3,
one month ago,User_10482370,4,
one month ago,User_10482370,5,
one month ago,User_10482370,1,
one month ago,User_10482370,2,
one month ago,User_10482370,3,
one month ago,User_10482370,4,
one month ago,User_10482370,5,
one month ago,User_10482370,1,
one month ago,User_10482370,2,
one month ago,User_10482370,3,
one month ago,User_10482370,4,
one month ago,User_10482370,5,
,,4.5,Good food
,,4.4,Good food
,Dinky,5,Good food
2 months ago,Suresh Malik,5,Great food
2 months ago,Ankit Shukla,5,Hii I was trying to java chip killer and Vietnamese shakrato it was great taste and you also made my day I am so happy and the staff is also good
2 months ago,Anchita Srivastava,5,Excellent coffee with great blends that are must try.Food is good but can be better.Service is quick and the staff is friendly and accommodating of personalized requests.Definitely recommended for Coffee Lovers?
2 months ago,Aman,5,I've tried to new food.... fried paneer it's so tasty I like it ..
2 months ago,Aman,1,
2 months ago,Aman,2,
2 months ago,Aman,3,
2 months ago,Aman,4,
2 months ago,Aman,5,
2 months ago,Aman,1,
2 months ago,Aman,2,
2 months ago,Aman,3,
2 months ago,Aman,4,
2 months ago,Aman,5,
2 months ago,Aman,1,
2 months ago,Aman,2,
2 months ago,Aman,3,
2 months ago,Aman,4,
2 months ago,Aman,5,
2 months ago,Aman,1,
2 months ago,Aman,2,
2 months ago,Aman,3,
2 months ago,Aman,4,
2 months ago,Aman,5,
2 months ago,Aman,1,
2 months ago,Aman,2,
2 months ago,Aman,3,
2 months ago,Aman,4,
2 months ago,Aman,5,
,,4.5,I've tried to new food.... fried paneer it's so tasty I like it ..
,,4.4,I've tried to new food.... fried paneer it's so tasty I like it ..
,Aman,5,I've tried to new food.... fried paneer it's so tasty I like it ..
2 months ago,Ruchita,5,d
2 months ago,Sahil Verma,5,Subhash and Ashiq served very well
3 months ago,Vinayak Maheshwari,5,Subhash was amazing!
3 months ago,User,5,good👏
3 months ago,User,1,
3 months ago,User,2,
3 months ago,User,3,
3 months ago,User,4,
3 months ago,User,5,
3 months ago,User,1,
3 months ago,User,2,
3 months ago,User,3,
3 months ago,User,4,
3 months ago,User,5,
3 months ago,User,1,
3 months ago,User,2,
3 months ago,User,3,
3 months ago,User,4,
3 months ago,User,5,
3 months ago,User,1,
3 months ago,User,2,
3 months ago,User,3,
3 months ago,User,4,
3 months ago,User,5,
3 months ago,User,1,
3 months ago,User,2,
3 months ago,User,3,
3 months ago,User,4,
3 months ago,User,5,
,,4.5,good facilities
,,4.4,good facilities
,Sakshi Sharma,4,good facilities
3 months ago,Manish Verma,5,my cold coffee it's too gud  sweet & strong both are perfect ..coffee island HQ27
3 months ago,Suman Bhardwaj,5,"Everything was great today this was like 5 Star quality mocha Espressione its good beverage drink , I'm daily basic order zamato from coffee island  it's my favourite drink .one of the best cafe coffee island 🍵."
3 months ago,Rajesh,5,my cold coffee it amazing...my order is fix from coffee island hq27 cold coffee  ..1 of the best coffee island hq27 cafe in gurgaon sector 29 & I like this cafe ☕🏝️
3 months ago,Misar Ali,5,today I'm order boboastic coconut matcha zamato from coffee island hq27  first time try to its better test & fantastic customer service my beverages properly packed &seal next time I will definitely order something food from coffee island ☕ it's a nyc cafe .
3 months ago,Misar Ali,1,
3 months ago,Misar Ali,2,
3 months ago,Misar Ali,3,
3 months ago,Misar Ali,4,
3 months ago,Misar Ali,5,
3 months ago,Misar Ali,1,
3 months ago,Misar Ali,2,
3 months ago,Misar Ali,3,
3 months ago,Misar Ali,4,
3 months ago,Misar Ali,5,
3 months ago,Misar Ali,1,
3 months ago,Misar Ali,2,
3 months ago,Misar Ali,3,
3 months ago,Misar Ali,4,
3 months ago,Misar Ali,5,
3 months ago,Misar Ali,1,
3 months ago,Misar Ali,2,
3 months ago,Misar Ali,3,
3 months ago,Misar Ali,4,
3 months ago,Misar Ali,5,
3 months ago,Misar Ali,1,
3 months ago,Misar Ali,2,
3 months ago,Misar Ali,3,
3 months ago,Misar Ali,4,
3 months ago,Misar Ali,5,
,,4.5,today I'm order boboastic coconut matcha zamato from coffee island hq27  first time try to its better test & fantastic customer service my beverages properly packed &seal next time I will definitely order something food from coffee island ☕ it's a nyc cafe .
,,4.4,today I'm order boboastic coconut matcha zamato from coffee island hq27  first time try to its better test & fantastic customer service my beverages properly packed &seal next time I will definitely order something food from coffee island ☕ it's a nyc cafe .
,Misar Ali,5,today I'm order boboastic coconut matcha zamato from coffee island hq27  first time try to its better test & fantastic customer service my beverages properly packed &seal next time I will definitely order something food from coffee island ☕ it's a nyc cafe .
3 months ago,Dheeru Singh,5,I'm first time try to cold coffee & it's a nice test coffee cold coffee it's to gud  next time I will definitely come in coffee island hq27 & staffs polite & it's amazing cafe
3 months ago,Aman Jha,5,"I'm first time order from coffee island hq27,  beverage drink , islander cold coffee, & cold coffee fantastic it's nyc coffee next time I will definitely come in coffee island"
3 months ago,Shivam Sharma,5,order food by zomato from coffee island hq27 rice bowl so testy & always on time my delivery order from coffee island so I will suggested to people to delivery order by coffee island hq27
4 months ago,Tanu Roy,5,"first time order from coffee island hq27 & very fast customer service & my beverages drink it's to gud ,I like coffee island hq27."
4 months ago,Tanu Roy,1,
4 months ago,Tanu Roy,2,
4 months ago,Tanu Roy,3,
4 months ago,Tanu Roy,4,
4 months ago,Tanu Roy,5,
4 months ago,Tanu Roy,1,
4 months ago,Tanu Roy,2,
4 months ago,Tanu Roy,3,
4 months ago,Tanu Roy,4,
4 months ago,Tanu Roy,5,
4 months ago,Tanu Roy,1,
4 months ago,Tanu Roy,2,
4 months ago,Tanu Roy,3,
4 months ago,Tanu Roy,4,
4 months ago,Tanu Roy,5,
4 months ago,Tanu Roy,1,
4 months ago,Tanu Roy,2,
4 months ago,Tanu Roy,3,
4 months ago,Tanu Roy,4,
4 months ago,Tanu Roy,5,
4 months ago,Tanu Roy,1,
4 months ago,Tanu Roy,2,
4 months ago,Tanu Roy,3,
4 months ago,Tanu Roy,4,
4 months ago,Tanu Roy,5,
,,4.5,Good service and polite staff really appreciate Aman and Priya great experience
,,4.4,Good service and polite staff really appreciate Aman and Priya great experience
,Atharva Khanvilkar,5,Good service and polite staff really appreciate Aman and Priya great experience
4 months ago,Faizan,5,it's a amazing customer service & it's to gud coffee island beverage drink .
4 months ago,Anurag Sharma,5,Who like to have strong coffee please go with Spanish Bombon
4 months ago,Abhishek Thakur,5,cold coffee was too delicious
4 months ago,Payal Bosu,5,great experience with coffee island.
4 months ago,Payal Bosu,1,
4 months ago,Payal Bosu,2,
4 months ago,Payal Bosu,3,
4 months ago,Payal Bosu,4,
4 months ago,Payal Bosu,5,
4 months ago,Payal Bosu,1,
4 months ago,Payal Bosu,2,
4 months ago,Payal Bosu,3,
4 months ago,Payal Bosu,4,
4 months ago,Payal Bosu,5,
4 months ago,Payal Bosu,1,
4 months ago,Payal Bosu,2,
