Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island GK II,2025-08-01,delivery,Swiggy,25,10,3876.10,1554.98,2321.12,100.00,121.05,2542.17,
Coffee Island GK II,2025-08-01,delivery,Zomato,41,15,8343.35,3059.30,5284.05,0.00,277.33,5561.38,
Coffee Island GK II,2025-08-01,table,POS,149,51,24173.72,954.45,23219.27,0.00,1303.81,24523.08,
Coffee Island GK II,2025-08-01,takeout,Mobile App,2,2,540.00,540.00,0.00,0.00,0.00,0.00,
Coffee Island GK II,2025-08-01,takeout,POS,24,13,3872.27,0.00,3872.27,0.00,242.43,4114.70,
Coffee Island GK II,2025-08-02,delivery,Swiggy,18,8,3550.42,987.99,2562.43,80.00,164.68,2807.11,
Coffee Island GK II,2025-08-02,delivery,Zomato,38,14,9437.50,3688.07,5749.43,0.00,287.50,6036.93,
Coffee Island GK II,2025-08-02,table,POS,203,64,34304.55,57.00,34247.55,0.00,1770.01,36017.56,
Coffee Island GK II,2025-08-02,takeout,Mobile App,6,2,980.00,0.00,980.00,10.00,83.30,1073.30,
Coffee Island GK II,2025-08-02,takeout,POS,41,8,3533.64,0.00,3533.64,0.00,198.61,3732.25,
Coffee Island GK II,2025-08-03,delivery,Swiggy,11,4,1289.86,432.00,857.86,40.00,57.53,955.39,
Coffee Island GK II,2025-08-03,delivery,Zomato,34,12,7725.60,3047.85,4677.75,0.00,271.02,4948.77,
Coffee Island GK II,2025-08-03,table,POS,332,72,53720.96,22656.00,31064.96,0.00,1561.10,32626.06,
Coffee Island GK II,2025-08-03,takeout,POS,49,14,8631.16,1849.73,6781.43,0.00,434.20,7215.63,
Coffee Island GK II,2025-08-04,delivery,Swiggy,17,8,2682.50,1189.00,1493.50,80.00,78.67,1652.17,
Coffee Island GK II,2025-08-04,delivery,Zomato,31,11,5492.50,1455.75,4036.75,0.00,201.85,4238.60,
Coffee Island GK II,2025-08-04,table,POS,182,53,28659.62,525.65,28133.97,0.00,1538.61,29672.58,
Coffee Island GK II,2025-08-04,takeout,Mobile App,7,2,1020.00,197.00,823.00,10.00,42.95,875.95,
Coffee Island GK II,2025-08-04,takeout,POS,28,7,4028.10,0.00,4028.10,0.00,240.41,4268.51,
Coffee Island GK II,2025-08-05,delivery,Swiggy,35,10,3835.00,1629.99,2205.01,90.00,114.73,2409.74,
Coffee Island GK II,2025-08-05,delivery,Zomato,19,9,3845.00,684.00,3161.00,0.00,158.05,3319.05,
Coffee Island GK II,2025-08-05,table,POS,114,43,17835.73,271.00,17564.73,0.00,919.14,18483.87,
Coffee Island GK II,2025-08-05,takeout,Mobile App,2,1,310.00,0.00,310.00,5.00,16.40,331.40,
Coffee Island GK II,2025-08-05,takeout,POS,20,9,2990.00,0.00,2990.00,0.00,149.51,3139.51,
Coffee Island GK II,2025-08-06,delivery,Swiggy,19,7,2487.50,831.99,1655.51,70.00,106.24,1831.75,
Coffee Island GK II,2025-08-06,delivery,Zomato,24,9,5478.75,1969.38,3509.38,0.00,175.47,3684.84,
Coffee Island GK II,2025-08-06,table,POS,143,40,22723.21,576.33,22146.88,0.00,1328.84,23475.72,
Coffee Island GK II,2025-08-06,takeout,Mobile App,4,2,540.00,23.00,517.00,10.00,27.65,554.65,
Coffee Island GK II,2025-08-06,takeout,POS,31,6,4630.00,0.00,4630.00,0.00,231.51,4861.51,
Coffee Island GK II,2025-08-07,delivery,MagicPin-Ordering,1,1,184.75,0.00,184.75,0.00,33.25,218.00,
Coffee Island GK II,2025-08-07,delivery,Swiggy,27,10,4498.01,1603.96,2894.05,100.00,259.55,3253.60,
Coffee Island GK II,2025-08-07,delivery,Zomato,3,2,750.00,25.00,725.00,0.00,36.25,761.25,
Coffee Island GK II,2025-08-07,table,POS,187,50,25194.12,2913.00,22281.12,0.00,1135.80,23416.92,
Coffee Island GK II,2025-08-07,takeout,POS,14,8,2549.50,32.00,2517.50,0.00,169.74,2687.24,
Coffee Island GK II,2025-08-08,delivery,Swiggy,15,7,2461.25,957.00,1504.25,70.00,78.71,1652.96,
Coffee Island GK II,2025-08-08,delivery,Zomato,10,5,2262.50,1016.25,1246.25,0.00,62.32,1308.57,
Coffee Island GK II,2025-08-08,table,POS,208,67,31624.29,342.00,31282.29,0.00,1797.75,33080.04,
Coffee Island GK II,2025-08-08,takeout,Mobile App,5,3,770.00,144.00,626.00,15.00,34.00,675.00,
Coffee Island GK II,2025-08-08,takeout,POS,26,9,4264.06,54.00,4210.06,0.00,277.99,4488.05,
Coffee Island GK II,2025-08-09,delivery,Swiggy,16,6,1736.25,696.00,1040.25,60.00,55.01,1155.26,
Coffee Island GK II,2025-08-09,delivery,Zomato,12,5,1975.00,607.50,1367.50,0.00,68.39,1435.89,
Coffee Island GK II,2025-08-09,table,POS,162,47,22464.36,415.00,22049.36,0.00,1117.35,23166.71,
Coffee Island GK II,2025-08-09,takeout,Mobile App,2,1,250.00,0.00,250.00,5.00,13.40,268.40,
Coffee Island GK II,2025-08-09,takeout,POS,42,15,7149.19,0.00,7149.19,0.00,404.93,7554.12,
Coffee Island GK II,2025-08-10,delivery,Swiggy,27,11,4482.29,1806.99,2675.30,90.00,165.88,2931.18,
