Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2025-05-08,takeout,POS,860,1,74356.64,0.00,74356.64,0.00,3717.83,78074.47,
MSFT Hyd,2025-05-10,takeout,POS,870,1,77135.08,0.00,77135.08,0.00,3856.75,80991.83,
MSFT Hyd,2025-05-12,takeout,POS,519,21,47791.00,0.00,47791.00,0.00,2389.60,50180.60,
MSFT Hyd,2025-05-13,takeout,POS,618,113,56577.96,6344.60,50233.36,0.00,2511.69,52745.05,
MSFT Hyd,2025-05-14,takeout,POS,496,209,43803.82,0.00,43803.82,0.00,2190.23,45994.05,
MSFT Hyd,2025-05-15,takeout,POS,539,164,49298.91,0.00,49298.91,0.00,2464.99,51763.90,
MSFT Hyd,2025-05-16,takeout,POS,783,159,70140.10,0.00,70140.10,0.00,3507.05,73647.15,
MSFT Hyd,2025-05-19,takeout,POS,418,166,35165.55,0.00,35165.55,0.00,1758.30,36923.85,
MSFT Hyd,2025-05-20,takeout,POS,460,182,41008.80,0.00,41008.80,0.00,2050.45,43059.25,
MSFT Hyd,2025-05-21,takeout,POS,496,188,44981.24,0.00,44981.24,0.00,2249.11,47230.35,
MSFT Hyd,2025-05-22,takeout,POS,476,135,43947.34,0.00,43947.34,0.00,2197.41,46144.75,
MSFT Hyd,2025-05-23,takeout,POS,626,302,58690.75,0.00,58690.75,0.00,2934.59,61625.34,
MSFT Hyd,2025-05-26,takeout,POS,401,189,33043.65,0.00,33043.65,0.00,1652.20,34695.85,
MSFT Hyd,2025-05-27,takeout,POS,402,188,36152.87,0.00,36152.87,0.00,1807.68,37960.55,
MSFT Hyd,2025-05-28,takeout,POS,557,272,48670.99,0.00,48670.99,0.00,2433.61,51104.60,
MSFT Hyd,2025-05-29,takeout,POS,511,246,43318.52,0.00,43318.52,0.00,2166.03,45484.55,
MSFT Hyd,2025-05-30,takeout,POS,566,277,47900.49,0.00,47900.49,0.00,2394.96,50295.45,
