Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2025-06-03,takeout,POS,346,184,32810.11,0.00,32810.11,0.00,1640.49,34450.60,
MSFT Hyd,2025-06-04,takeout,POS,458,233,44496.19,0.00,44496.19,0.00,2224.81,46721.00,
MSFT Hyd,2025-06-05,takeout,POS,445,213,40060.36,0.00,40060.36,0.00,2003.04,42063.40,
MSFT Hyd,2025-06-09,takeout,POS,335,173,30673.44,0.00,30673.44,0.00,1533.66,32207.10,
MSFT Hyd,2025-06-10,takeout,POS,313,150,25491.90,0.00,25491.90,0.00,1274.60,26766.50,
MSFT Hyd,2025-06-11,takeout,POS,307,152,26841.68,0.00,26841.68,0.00,1342.07,28183.75,
MSFT Hyd,2025-06-12,takeout,POS,421,205,38882.82,0.00,38882.82,0.00,1944.13,40826.95,
MSFT Hyd,2025-06-13,takeout,POS,501,244,44861.28,0.00,44861.28,0.00,2243.07,47104.35,
MSFT Hyd,2025-06-16,takeout,POS,345,160,30086.68,0.00,30086.68,0.00,1504.32,31591.00,
MSFT Hyd,2025-06-17,takeout,POS,428,209,37717.52,0.00,37717.52,0.00,1885.88,39603.40,
MSFT Hyd,2025-06-18,table,POS,3,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-18,takeout,POS,423,219,39703.50,0.00,39703.50,0.00,1985.20,41688.70,
MSFT Hyd,2025-06-19,table,POS,7,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-19,takeout,POS,400,203,38611.88,0.00,38611.88,0.00,1930.62,40542.50,
MSFT Hyd,2025-06-20,table,POS,8,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-20,takeout,POS,531,268,50861.00,0.00,50861.00,0.00,2543.05,53404.05,
MSFT Hyd,2025-06-23,table,POS,7,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-23,takeout,POS,312,127,26095.00,0.00,26095.00,0.00,1304.75,27399.75,
MSFT Hyd,2025-06-24,table,POS,7,4,257.14,0.00,257.14,0.00,12.86,270.00,
MSFT Hyd,2025-06-24,takeout,POS,465,239,43395.00,0.00,43395.00,0.00,2169.75,45564.75,
MSFT Hyd,2025-06-25,table,POS,9,5,457.14,0.00,457.14,0.00,22.86,480.00,
MSFT Hyd,2025-06-25,takeout,POS,346,190,37268.00,0.00,37268.00,0.00,1863.40,39131.40,
MSFT Hyd,2025-06-26,table,POS,8,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-26,takeout,POS,405,216,40221.00,0.00,40221.00,0.00,2011.05,42232.05,
MSFT Hyd,2025-06-27,table,POS,7,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-27,takeout,POS,465,233,46305.00,0.00,46305.00,0.00,2315.25,48620.25,
MSFT Hyd,2025-06-30,table,POS,8,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-06-30,takeout,POS,350,156,31021.00,0.00,31021.00,0.00,1551.05,32572.05,
