Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2025-08-01,table,POS,3,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-01,takeout,POS,558,258,49470.17,0.00,49470.17,0.00,2473.64,51943.81,
MSFT Hyd,2025-08-04,table,POS,11,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-04,takeout,POS,343,160,27676.51,0.00,27676.51,0.00,1383.97,29060.48,
MSFT Hyd,2025-08-05,table,POS,9,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-05,takeout,POS,455,225,38691.78,0.00,38691.78,0.00,1934.64,40626.42,
MSFT Hyd,2025-08-06,table,POS,10,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-06,takeout,POS,448,219,38257.43,0.00,38257.43,0.00,1912.95,40170.38,
MSFT Hyd,2025-08-07,table,POS,10,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-07,takeout,POS,409,208,36224.86,0.00,36224.86,0.00,1811.32,38036.18,
MSFT Hyd,2025-08-08,table,POS,9,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-08,takeout,POS,588,310,53688.06,0.00,53688.06,0.00,2684.54,56372.60,
MSFT Hyd,2025-08-11,table,POS,8,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-11,takeout,POS,321,155,27417.49,0.00,27417.49,0.00,1370.96,28788.45,
MSFT Hyd,2025-08-12,table,POS,7,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-12,takeout,POS,412,200,34212.83,0.00,34212.83,0.00,1710.74,35923.57,
MSFT Hyd,2025-08-13,table,POS,10,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-13,takeout,POS,436,201,34809.28,0.00,34809.28,0.00,1740.55,36549.83,
MSFT Hyd,2025-08-14,table,POS,13,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-14,takeout,POS,373,177,31881.12,0.00,31881.12,0.00,1594.20,33475.32,
MSFT Hyd,2025-08-18,table,POS,7,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-18,takeout,POS,320,146,26102.11,0.00,26102.11,0.00,1284.19,27386.30,
MSFT Hyd,2025-08-19,table,POS,9,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-19,takeout,POS,394,190,33728.95,0.00,33728.95,0.00,1686.49,35415.44,
MSFT Hyd,2025-08-20,table,POS,9,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-20,takeout,POS,358,172,30784.92,0.00,30784.92,0.00,1528.80,32313.72,
MSFT Hyd,2025-08-21,table,POS,8,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-21,takeout,POS,417,196,35174.40,0.00,35174.40,0.00,1758.81,36933.21,
MSFT Hyd,2025-08-22,table,POS,9,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-22,takeout,POS,428,210,36381.12,0.00,36381.12,0.00,1819.13,38200.25,
MSFT Hyd,2025-08-25,table,POS,6,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-25,takeout,POS,305,147,24939.41,0.00,24939.41,0.00,1247.04,26186.45,
MSFT Hyd,2025-08-26,table,POS,6,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-26,takeout,POS,372,191,33663.83,0.00,33663.83,0.00,1662.30,35326.13,
MSFT Hyd,2025-08-27,table,POS,5,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-27,takeout,POS,382,187,32770.64,0.00,32770.64,0.00,1638.66,34409.30,
MSFT Hyd,2025-08-28,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-28,takeout,POS,350,172,29638.72,0.00,29638.72,0.00,1482.07,31120.79,
MSFT Hyd,2025-08-29,table,POS,7,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-08-29,takeout,POS,461,213,37726.71,0.00,37726.71,0.00,1886.46,39613.17,
