Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island GK II,2025-11-01,delivery,Swiggy,14,5,3614.92,807.45,2807.47,150.00,147.87,3105.34,
Coffee Island GK II,2025-11-01,delivery,Zomato,48,10,6461.00,1375.00,5086.00,200.00,273.11,5559.11,
Coffee Island GK II,2025-11-01,table,POS,161,49,26185.58,922.50,25263.08,0.00,1340.12,26603.20,
Coffee Island GK II,2025-11-01,takeout,Mobile App,5,2,527.00,100.00,427.00,10.00,23.15,460.15,
Coffee Island GK II,2025-11-01,takeout,POS,60,19,8598.89,0.00,8598.89,0.00,429.95,9028.84,
Coffee Island GK II,2025-11-02,delivery,Swiggy,11,2,3280.00,199.99,3080.01,60.00,157.00,3297.01,
Coffee Island GK II,2025-11-02,delivery,Zomato,20,5,3126.61,1000.00,2126.61,100.00,111.33,2337.94,
Coffee Island GK II,2025-11-02,table,POS,147,44,25597.05,835.50,24761.55,0.00,1269.76,26031.31,
Coffee Island GK II,2025-11-02,takeout,Mobile App,1,1,0.00,0.00,0.00,0.00,0.00,0.00,
Coffee Island GK II,2025-11-02,takeout,POS,55,14,8048.39,960.00,7088.39,0.00,367.55,7455.94,
Coffee Island GK II,2025-11-03,delivery,Swiggy,7,3,1010.00,160.00,850.00,90.00,47.00,987.00,
Coffee Island GK II,2025-11-03,delivery,Zomato,6,6,1750.00,530.00,1220.00,120.00,67.00,1407.00,
Coffee Island GK II,2025-11-03,table,POS,63,31,11850.39,123.00,11727.39,0.00,663.34,12390.73,
Coffee Island GK II,2025-11-03,takeout,Mobile App,3,2,470.00,115.00,355.00,5.00,18.65,378.65,
Coffee Island GK II,2025-11-03,takeout,POS,21,6,3769.10,0.00,3769.10,0.00,188.46,3957.56,
Coffee Island GK II,2025-11-04,delivery,Swiggy,3,2,920.00,235.00,685.00,60.00,37.25,782.25,
Coffee Island GK II,2025-11-04,delivery,Zomato,11,9,3065.00,1166.00,1899.00,180.00,103.95,2182.95,
Coffee Island GK II,2025-11-04,table,POS,100,41,27085.80,2374.70,24711.10,0.00,1235.60,25946.70,
Coffee Island GK II,2025-11-04,takeout,Mobile App,4,2,810.00,100.00,710.00,5.00,36.40,751.40,
Coffee Island GK II,2025-11-04,takeout,POS,11,8,2465.20,128.00,2337.20,0.00,116.86,2454.06,
Coffee Island GK II,2025-11-05,delivery,Swiggy,4,3,1350.00,337.50,1012.50,90.00,55.12,1157.62,
Coffee Island GK II,2025-11-05,delivery,Zomato,9,8,2670.00,822.00,1848.00,160.00,100.40,2108.40,
Coffee Island GK II,2025-11-05,table,POS,71,34,16412.61,325.50,16087.11,0.00,804.36,16891.47,
Coffee Island GK II,2025-11-05,takeout,Mobile App,2,1,580.00,100.00,480.00,5.00,24.90,509.90,
Coffee Island GK II,2025-11-05,takeout,POS,7,6,2150.00,42.00,2108.00,0.00,105.40,2213.40,
Coffee Island GK II,2025-11-06,delivery,Swiggy,9,5,2930.00,579.97,2350.03,150.00,125.01,2625.04,
Coffee Island GK II,2025-11-06,delivery,Zomato,7,5,2155.00,687.50,1467.50,100.00,78.38,1645.88,
Coffee Island GK II,2025-11-06,table,POS,75,38,19372.82,1404.65,17968.17,0.00,898.43,18866.60,
Coffee Island GK II,2025-11-06,takeout,POS,18,11,4516.61,577.50,3939.11,0.00,196.98,4136.09,
Coffee Island GK II,2025-11-07,delivery,Swiggy,11,6,3860.00,1190.48,2669.52,180.00,142.46,2991.98,
