Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2025-11-03,takeout,POS,223,122,21062.59,0.00,21062.59,0.00,1053.22,22115.81,
MSFT Hyd,2025-11-04,takeout,POS,344,148,25146.18,0.00,25146.18,0.00,1246.94,26393.12,
MSFT Hyd,2025-11-05,table,POS,8,8,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-05,takeout,POS,352,152,28509.41,0.00,28509.41,0.00,1425.56,29934.97,
MSFT Hyd,2025-11-06,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-06,takeout,POS,389,157,28400.73,0.00,28400.73,0.00,1409.75,29810.48,
MSFT Hyd,2025-11-07,table,POS,1,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-07,takeout,POS,404,176,30891.10,0.00,30891.10,0.00,1534.30,32425.40,
MSFT Hyd,2025-11-10,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-10,takeout,POS,338,140,24546.44,0.00,24546.44,0.00,1227.44,25773.88,
MSFT Hyd,2025-11-11,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-11,takeout,POS,383,167,30675.05,0.00,30675.05,0.00,1523.43,32198.48,
MSFT Hyd,2025-11-12,table,POS,8,6,269.05,0.00,269.05,0.00,0.00,269.05,
MSFT Hyd,2025-11-12,takeout,POS,380,180,30972.91,0.00,30972.91,0.00,1527.82,32500.73,
MSFT Hyd,2025-11-13,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-13,takeout,POS,390,189,31978.61,0.00,31978.61,0.00,1588.50,33567.11,
MSFT Hyd,2025-11-14,table,POS,5,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-14,takeout,POS,462,201,36329.93,0.00,36329.93,0.00,1806.26,38136.19,
MSFT Hyd,2025-11-17,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-17,takeout,POS,344,150,25493.03,0.00,25493.03,0.00,1274.83,26767.86,
MSFT Hyd,2025-11-18,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-18,takeout,POS,352,158,27547.71,0.00,27547.71,0.00,1367.06,28914.77,
MSFT Hyd,2025-11-19,table,POS,7,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-19,takeout,POS,350,155,27279.74,0.00,27279.74,0.00,1364.14,28643.88,
MSFT Hyd,2025-11-20,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-20,takeout,POS,407,192,33330.58,0.00,33330.58,0.00,1656.19,34986.77,
MSFT Hyd,2025-11-21,table,POS,6,6,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-21,takeout,POS,444,195,36331.43,0.00,36331.43,0.00,1806.20,38137.63,
MSFT Hyd,2025-11-24,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-24,takeout,POS,322,146,25971.33,0.00,25971.33,0.00,1277.75,27249.08,
MSFT Hyd,2025-11-25,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-25,takeout,POS,403,170,30324.16,0.00,30324.16,0.00,1505.88,31830.04,
MSFT Hyd,2025-11-26,table,POS,7,7,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-26,takeout,POS,400,174,32058.03,0.00,32058.03,0.00,1592.52,33650.55,
MSFT Hyd,2025-11-27,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-27,takeout,POS,366,164,29123.83,0.00,29123.83,0.00,1456.31,30580.14,
MSFT Hyd,2025-11-28,table,POS,5,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-11-28,takeout,POS,408,182,33168.98,0.00,33168.98,0.00,1658.59,34827.57,
