Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,2025-12-01,delivery,Swiggy,12,6,3010.86,1319.62,1691.24,180.00,93.56,1964.80,
Coffee Island Beyond GK II,2025-12-01,delivery,Zomato,28,19,8360.00,3760.00,4600.00,380.00,249.00,5229.00,
Coffee Island Beyond GK II,2025-12-01,table,POS,83,41,19890.05,1678.75,18211.30,0.00,910.61,19121.91,
Coffee Island Beyond GK II,2025-12-01,takeout,Mobile App,3,3,230.00,131.00,99.00,5.00,5.85,109.85,
Coffee Island Beyond GK II,2025-12-01,takeout,POS,42,16,10881.49,163.00,10718.49,0.00,535.92,11254.41,
Coffee Island Beyond GK II,2025-12-02,delivery,Swiggy,14,8,4451.61,1504.99,2946.62,240.00,159.34,3345.96,
Coffee Island Beyond GK II,2025-12-02,delivery,Zomato,25,17,6940.39,3202.68,3737.71,340.00,215.85,4293.56,
Coffee Island Beyond GK II,2025-12-02,table,POS,83,38,20580.88,1845.15,18735.73,0.00,936.84,19672.57,
Coffee Island Beyond GK II,2025-12-02,takeout,Mobile App,10,9,2130.00,1147.00,983.00,35.00,55.45,1073.45,
Coffee Island Beyond GK II,2025-12-02,takeout,POS,35,11,8639.17,300.00,8339.17,0.00,403.46,8742.63,
Coffee Island Beyond GK II,2025-12-03,delivery,Swiggy,11,4,3520.00,1304.48,2215.52,120.00,116.77,2452.29,
Coffee Island Beyond GK II,2025-12-03,delivery,Zomato,21,14,6610.00,2650.00,3960.00,280.00,212.00,4452.00,
Coffee Island Beyond GK II,2025-12-03,table,POS,58,30,14131.10,2047.50,12083.60,0.00,604.24,12687.84,
Coffee Island Beyond GK II,2025-12-03,takeout,Mobile App,3,3,690.00,492.00,198.00,10.00,11.70,219.70,
Coffee Island Beyond GK II,2025-12-03,takeout,POS,28,18,7016.95,332.85,6684.10,0.00,320.71,7004.81,
Coffee Island Beyond GK II,2025-12-04,delivery,Swiggy,18,9,5320.00,1964.99,3355.01,270.00,181.26,3806.27,
Coffee Island Beyond GK II,2025-12-04,delivery,Zomato,22,16,6090.00,2550.00,3540.00,320.00,193.00,4053.00,
Coffee Island Beyond GK II,2025-12-04,table,POS,76,43,17397.30,1291.80,16105.50,0.00,805.29,16910.79,
Coffee Island Beyond GK II,2025-12-04,takeout,Mobile App,6,6,1380.00,1051.00,329.00,10.00,18.25,357.25,
Coffee Island Beyond GK II,2025-12-04,takeout,POS,30,13,8200.00,300.00,7900.00,0.00,395.00,8295.00,
