Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2025-12-01,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-01,takeout,POS,351,137,24248.92,0.00,24248.92,0.00,1212.55,25461.47,
MSFT Hyd,2025-12-02,table,POS,3,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-02,takeout,POS,350,153,26382.61,0.00,26382.61,0.00,1319.24,27701.85,
MSFT Hyd,2025-12-03,table,POS,8,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-03,takeout,POS,380,153,26064.85,0.00,26064.85,0.00,1303.31,27368.16,
MSFT Hyd,2025-12-04,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-04,takeout,POS,439,185,33239.53,0.00,33239.53,0.00,1662.10,34901.63,
MSFT Hyd,2025-12-05,table,POS,5,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-05,takeout,POS,465,176,31122.69,0.00,31122.69,0.00,1556.28,32678.97,
MSFT Hyd,2025-12-08,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-08,takeout,POS,369,147,26847.67,0.00,26847.67,0.00,1342.45,28190.12,
MSFT Hyd,2025-12-09,takeout,POS,402,168,29460.42,0.00,29460.42,0.00,1473.06,30933.48,
MSFT Hyd,2025-12-10,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-10,takeout,POS,441,177,31011.94,0.00,31011.94,0.00,1550.73,32562.67,
MSFT Hyd,2025-12-11,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-11,takeout,POS,388,165,28610.19,0.00,28610.19,0.00,1430.65,30040.84,
MSFT Hyd,2025-12-12,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-12,takeout,POS,516,211,38335.06,0.00,38335.06,0.00,1916.89,40251.95,
MSFT Hyd,2025-12-15,takeout,POS,373,155,27065.50,0.00,27065.50,0.00,1353.36,28418.86,
MSFT Hyd,2025-12-16,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-16,takeout,POS,401,168,30538.30,0.00,30538.30,0.00,1526.99,32065.29,
MSFT Hyd,2025-12-17,takeout,POS,400,174,29394.95,0.00,29394.95,0.00,1469.87,30864.82,
MSFT Hyd,2025-12-18,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-18,takeout,POS,428,182,31123.99,0.00,31123.99,0.00,1556.30,32680.29,
MSFT Hyd,2025-12-19,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-19,takeout,POS,393,162,27950.90,0.00,27950.90,0.00,1397.65,29348.55,
MSFT Hyd,2025-12-22,table,POS,1,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-22,takeout,POS,319,137,23840.83,0.00,23840.83,0.00,1192.15,25032.98,
MSFT Hyd,2025-12-23,takeout,POS,345,152,26085.79,0.00,26085.79,0.00,1304.31,27390.10,
MSFT Hyd,2025-12-24,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-24,takeout,POS,401,172,30091.65,0.00,30091.65,0.00,1504.65,31596.30,
MSFT Hyd,2025-12-26,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-26,takeout,POS,406,167,30504.77,0.00,30504.77,0.00,1525.26,32030.03,
MSFT Hyd,2025-12-29,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2025-12-29,takeout,POS,313,147,25796.79,0.00,25796.79,0.00,1289.83,27086.62,
MSFT Hyd,2025-12-30,takeout,POS,353,150,25488.18,0.00,25488.18,0.00,1274.48,26762.66,
MSFT Hyd,2025-12-31,takeout,POS,428,192,32642.15,0.00,32642.15,0.00,1632.21,34274.36,
