Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,2026-01-01,delivery,Swiggy,12,5,3744.00,1649.86,2094.14,100.00,109.70,2303.84,
Coffee Island Beyond GK II,2026-01-01,delivery,Zomato,21,11,5770.61,1944.00,3826.61,220.00,213.15,4259.76,
Coffee Island Beyond GK II,2026-01-01,table,POS,161,56,40149.90,1994.25,38155.65,1773.69,1996.54,41925.88,
Coffee Island Beyond GK II,2026-01-01,table,QR,22,7,7355.00,622.50,6732.50,297.00,351.53,7381.03,
Coffee Island Beyond GK II,2026-01-01,takeout,POS,13,7,3508.30,106.00,3402.30,0.00,170.11,3572.41,
Coffee Island Beyond GK II,2026-01-02,delivery,Swiggy,11,6,3210.00,1315.00,1895.00,120.00,100.75,2115.75,
Coffee Island Beyond GK II,2026-01-02,delivery,Zomato,28,15,8973.00,3272.00,5701.00,300.00,300.05,6301.05,
Coffee Island Beyond GK II,2026-01-02,table,POS,153,45,40733.71,3166.25,37567.46,1734.37,1965.21,41267.04,
Coffee Island Beyond GK II,2026-01-02,table,QR,16,6,4515.00,310.00,4205.00,183.25,219.44,4607.69,
Coffee Island Beyond GK II,2026-01-02,takeout,Mobile App,2,1,510.00,100.00,410.00,5.00,21.41,436.41,
Coffee Island Beyond GK II,2026-01-02,takeout,POS,19,11,5034.75,114.00,4920.75,0.00,246.04,5166.79,
Coffee Island Beyond GK II,2026-01-03,delivery,Swiggy,13,4,3787.88,1331.76,2456.12,80.00,126.82,2662.94,
Coffee Island Beyond GK II,2026-01-03,delivery,Zomato,23,12,7829.00,2282.00,5547.00,240.00,289.35,6076.35,
Coffee Island Beyond GK II,2026-01-03,table,POS,182,61,46957.28,871.56,46085.72,2266.48,2417.70,50769.90,
Coffee Island Beyond GK II,2026-01-03,table,QR,6,3,1835.00,0.00,1835.00,91.75,96.34,2023.09,
Coffee Island Beyond GK II,2026-01-03,takeout,POS,6,4,1394.25,0.00,1394.25,0.00,69.71,1463.96,
Coffee Island Beyond GK II,2026-01-04,delivery,Swiggy,1,1,340.00,50.00,290.00,20.00,15.50,325.50,
Coffee Island Beyond GK II,2026-01-04,delivery,Zomato,21,10,6569.00,957.00,5612.00,200.00,290.60,6102.60,
Coffee Island Beyond GK II,2026-01-04,table,POS,194,55,54057.03,4558.67,49498.36,2474.93,2598.79,54572.08,
Coffee Island Beyond GK II,2026-01-04,table,QR,10,3,2960.00,165.00,2795.00,148.00,147.16,3090.16,
Coffee Island Beyond GK II,2026-01-04,takeout,POS,12,10,3060.00,30.00,3030.00,0.00,151.50,3181.50,
Coffee Island Beyond GK II,2026-01-05,delivery,Swiggy,10,5,2909.08,729.96,2179.13,100.00,113.96,2393.09,
Coffee Island Beyond GK II,2026-01-05,delivery,Zomato,12,7,3791.33,815.00,2976.33,140.00,155.82,3272.15,
Coffee Island Beyond GK II,2026-01-05,table,POS,140,52,35563.57,4021.83,31541.74,1422.71,1648.32,34612.77,
Coffee Island Beyond GK II,2026-01-05,table,QR,11,4,3690.00,522.50,3167.50,166.00,166.70,3500.20,
Coffee Island Beyond GK II,2026-01-05,takeout,Mobile App,2,1,450.00,0.00,450.00,5.00,23.40,478.40,
Coffee Island Beyond GK II,2026-01-05,takeout,POS,10,9,4193.80,941.90,3251.90,0.00,162.60,3414.50,
Coffee Island Beyond GK II,2026-01-06,delivery,Swiggy,3,1,754.00,179.98,574.02,20.00,29.70,623.72,
Coffee Island Beyond GK II,2026-01-06,delivery,Zomato,5,4,1527.00,349.00,1178.00,80.00,62.90,1320.90,
Coffee Island Beyond GK II,2026-01-06,table,POS,165,57,41291.34,3246.00,38045.34,1877.45,1996.34,41919.13,
Coffee Island Beyond GK II,2026-01-06,table,QR,3,2,955.00,95.50,859.50,47.75,45.37,952.62,
Coffee Island Beyond GK II,2026-01-06,takeout,POS,7,7,1466.09,161.00,1305.09,0.00,77.63,1382.72,
Coffee Island Beyond GK II,2026-01-07,delivery,Swiggy,5,4,1570.00,259.99,1310.01,80.00,69.50,1459.51,
Coffee Island Beyond GK II,2026-01-07,delivery,Zomato,13,7,4501.61,940.00,3561.61,140.00,185.10,3886.71,
Coffee Island Beyond GK II,2026-01-07,table,POS,113,48,26165.50,1660.52,24504.98,1225.25,1286.62,27016.85,
Coffee Island Beyond GK II,2026-01-07,table,QR,2,1,730.00,0.00,730.00,36.50,38.33,804.83,
Coffee Island Beyond GK II,2026-01-07,takeout,Mobile App,4,2,620.00,620.00,0.00,0.00,0.00,0.00,
Coffee Island Beyond GK II,2026-01-07,takeout,POS,17,12,5003.57,67.00,4936.57,0.00,259.21,5195.78,
Coffee Island Beyond GK II,2026-01-08,delivery,Swiggy,2,1,805.00,202.49,602.51,20.00,31.12,653.63,
Coffee Island Beyond GK II,2026-01-08,delivery,Zomato,6,4,1860.00,344.00,1516.00,80.00,79.80,1675.80,
Coffee Island Beyond GK II,2026-01-08,table,POS,143,57,34053.02,4746.25,29306.77,1414.64,1536.16,32257.57,
Coffee Island Beyond GK II,2026-01-08,table,QR,12,5,3505.00,397.50,3107.50,96.50,160.24,3364.24,
Coffee Island Beyond GK II,2026-01-08,takeout,POS,7,5,1815.00,69.00,1746.00,0.00,87.30,1833.30,
Coffee Island Beyond GK II,2026-01-09,delivery,Swiggy,2,2,805.00,0.00,805.00,40.00,42.25,887.25,
Coffee Island Beyond GK II,2026-01-09,delivery,Zomato,6,6,1650.00,464.00,1186.00,120.00,65.30,1371.30,
Coffee Island Beyond GK II,2026-01-09,table,POS,131,46,32764.22,1815.50,30948.72,1536.58,1739.94,34225.24,
Coffee Island Beyond GK II,2026-01-09,takeout,POS,7,7,1800.24,0.00,1800.24,0.00,102.39,1902.63,
Coffee Island Beyond GK II,2026-01-10,delivery,Swiggy,8,3,2220.00,531.50,1688.50,60.00,87.43,1835.93,
Coffee Island Beyond GK II,2026-01-10,delivery,Zomato,20,13,6334.00,1731.50,4602.50,260.00,243.15,5105.65,
Coffee Island Beyond GK II,2026-01-10,table,POS,169,52,42811.98,1478.47,41333.51,2066.68,2223.95,45624.14,
Coffee Island Beyond GK II,2026-01-10,table,QR,17,7,5175.24,500.00,4675.24,186.50,243.11,5104.85,
Coffee Island Beyond GK II,2026-01-10,takeout,POS,16,12,4250.00,0.00,4250.00,0.00,212.50,4462.50,
Coffee Island Beyond GK II,2026-01-11,delivery,Swiggy,3,2,940.00,216.25,723.75,40.00,38.19,801.94,
Coffee Island Beyond GK II,2026-01-11,delivery,Zomato,24,16,6770.00,2766.50,4003.50,320.00,216.18,4539.68,
Coffee Island Beyond GK II,2026-01-11,table,POS,174,58,43822.36,1110.50,42711.86,2100.10,2240.68,47052.64,
Coffee Island Beyond GK II,2026-01-11,table,QR,9,3,2630.00,317.00,2313.00,144.00,122.86,2579.86,
Coffee Island Beyond GK II,2026-01-11,takeout,Mobile App,2,2,420.00,0.00,420.00,10.00,22.80,452.80,
Coffee Island Beyond GK II,2026-01-11,takeout,POS,16,9,4690.00,64.00,4626.00,0.00,231.30,4857.30,
Coffee Island Beyond GK II,2026-01-12,delivery,Swiggy,4,3,1120.00,266.24,853.76,60.00,45.69,959.45,
Coffee Island Beyond GK II,2026-01-12,delivery,Zomato,7,6,2128.00,825.00,1303.00,120.00,71.15,1494.15,
