Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
MSFT Hyd,2026-01-02,table,POS,5,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-02,takeout,POS,332,138,24755.03,0.00,24755.03,0.00,1237.86,25992.89,
MSFT Hyd,2026-01-05,takeout,POS,296,126,20941.59,0.00,20941.59,0.00,1047.07,21988.66,
MSFT Hyd,2026-01-06,takeout,POS,317,131,21948.21,0.00,21948.21,0.00,1097.46,23045.67,
MSFT Hyd,2026-01-07,table,POS,9,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-07,takeout,POS,396,168,29422.37,0.00,29422.37,0.00,1471.15,30893.52,
MSFT Hyd,2026-01-08,table,POS,5,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-08,takeout,POS,353,141,25201.82,0.00,25201.82,0.00,1260.20,26462.02,
MSFT Hyd,2026-01-09,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-09,takeout,POS,434,186,32579.90,0.00,32579.90,0.00,1629.11,34209.01,
MSFT Hyd,2026-01-12,takeout,POS,341,140,23060.57,0.00,23060.57,0.00,1153.07,24213.64,
MSFT Hyd,2026-01-13,table,POS,4,4,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-13,takeout,POS,347,141,23803.62,0.00,23803.62,0.00,1190.28,24993.90,
MSFT Hyd,2026-01-14,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-14,takeout,POS,458,188,32514.04,0.00,32514.04,0.00,1625.82,34139.86,
MSFT Hyd,2026-01-15,table,POS,2,1,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-15,takeout,POS,403,158,28223.56,0.00,28223.56,0.00,1411.30,29634.86,
MSFT Hyd,2026-01-16,takeout,POS,449,165,31809.97,0.00,31809.97,0.00,1590.63,33400.60,
MSFT Hyd,2026-01-19,takeout,POS,365,139,24137.76,0.00,24137.76,0.00,1206.94,25344.70,
MSFT Hyd,2026-01-20,takeout,POS,446,177,31460.48,0.00,31460.48,0.00,1573.17,33033.65,
MSFT Hyd,2026-01-21,table,POS,4,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-21,takeout,POS,360,146,26080.80,0.00,26080.80,0.00,1304.05,27384.85,
MSFT Hyd,2026-01-22,takeout,POS,365,155,25475.25,0.00,25475.25,0.00,1273.85,26749.10,
MSFT Hyd,2026-01-23,table,POS,5,5,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-23,takeout,POS,408,172,30246.01,0.00,30246.01,0.00,1512.48,31758.49,
MSFT Hyd,2026-01-27,table,POS,3,3,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-27,takeout,POS,278,120,19964.67,0.00,19964.67,0.00,998.24,20962.91,
MSFT Hyd,2026-01-28,takeout,POS,342,134,22970.52,0.00,22970.52,0.00,1148.64,24119.16,
MSFT Hyd,2026-01-29,table,POS,2,2,0.00,0.00,0.00,0.00,0.00,0.00,
MSFT Hyd,2026-01-29,takeout,POS,324,138,23385.06,0.00,23385.06,0.00,1169.36,24554.42,
MSFT Hyd,2026-01-30,takeout,POS,458,171,32996.37,0.00,32996.37,0.00,1650.00,34646.37,
