Generated On: 2026-02-02 01:19:22 pm
*All the values shown here are in INR,

Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,2026-02-01,delivery,Swiggy,14,9,4447.47,879.94,3567.53,180.00,187.38,3934.91,
Coffee Island Beyond GK II,2026-02-01,delivery,Zomato,19,15,6006.00,1732.00,4274.00,300.00,228.71,4802.71,
Coffee Island Beyond GK II,2026-02-01,table,POS,141,53,34865.28,2380.00,32485.28,1624.27,1705.56,35815.11,
Coffee Island Beyond GK II,2026-02-01,table,QR,4,2,1140.00,0.00,1140.00,57.00,59.85,1256.85,
Coffee Island Beyond GK II,2026-02-01,takeout,POS,16,12,4634.28,168.00,4466.28,0.00,223.32,4689.60,
Coffee Island HQ-27,2026-02-01,delivery,MagicPin-Ordering,1,1,128.57,3.00,125.57,0.00,6.28,131.85,
Coffee Island HQ-27,2026-02-01,delivery,Swiggy,29,15,8085.85,3474.57,4611.28,300.00,258.80,5170.08,
Coffee Island HQ-27,2026-02-01,delivery,Zomato,18,7,5045.00,2359.00,2686.00,140.00,141.30,2967.30,
Coffee Island HQ-27,2026-02-01,table,POS,84,30,19954.85,3011.35,16943.50,0.00,868.19,17811.69,
Coffee Island HQ-27,2026-02-01,table,QR,63,20,18711.43,5211.81,13499.62,0.00,675.03,14174.65,
Coffee Island HQ-27,2026-02-01,takeout,POS,14,8,3181.43,0.00,3181.43,0.00,159.08,3340.51,
Coffee Island HQ-27,2026-02-01,takeout,QR,2,1,530.00,0.00,530.00,0.00,26.50,556.50,
Coffee Island AIPL,2026-02-01,delivery,Swiggy,17,9,5629.75,2489.43,3140.32,180.00,166.03,3486.35,
Coffee Island AIPL,2026-02-01,delivery,Zomato,18,10,5875.00,2414.50,3460.50,200.00,183.03,3843.53,
Coffee Island AIPL,2026-02-01,table,POS,100,39,26040.67,5344.05,20696.62,0.00,1034.84,21731.46,
Coffee Island AIPL,2026-02-01,takeout,Mobile App,3,2,439.00,0.00,439.00,0.00,21.95,460.95,
Coffee Island AIPL,2026-02-01,takeout,POS,18,12,5085.42,0.00,5085.42,0.00,254.27,5339.69,
