Generated On: 2026-02-03 10:50:12 am
*All the values shown here are in INR,

Outlet Name,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,2026-02-02,delivery,Swiggy,3,3,978.00,325.00,653.00,60.00,35.65,748.65,
Coffee Island Beyond GK II,2026-02-02,delivery,Zomato,22,12,6450.42,2662.00,3788.42,240.00,201.42,4229.84,
Coffee Island Beyond GK II,2026-02-02,table,POS,76,37,18265.48,948.50,17316.98,865.85,909.21,19092.04,
Coffee Island Beyond GK II,2026-02-02,table,QR,3,1,1060.00,0.00,1060.00,34.00,54.70,1148.70,
Coffee Island Beyond GK II,2026-02-02,takeout,Mobile App,4,2,990.00,497.00,493.00,0.00,24.65,517.65,
Coffee Island Beyond GK II,2026-02-02,takeout,POS,15,12,4123.33,5.00,4118.33,0.00,205.92,4324.25,
Coffee Island HQ-27,2026-02-02,delivery,Swiggy,34,19,10019.00,4077.15,5941.85,380.00,316.09,6637.94,
Coffee Island HQ-27,2026-02-02,delivery,Zomato,32,20,8940.00,4059.00,4881.00,400.00,264.05,5545.05,
Coffee Island HQ-27,2026-02-02,table,POS,68,27,15640.00,1877.00,13763.00,0.00,688.18,14451.18,
Coffee Island HQ-27,2026-02-02,table,QR,10,5,2545.00,74.00,2471.00,0.00,123.55,2594.55,
Coffee Island HQ-27,2026-02-02,takeout,Mobile App,6,4,1170.00,162.00,1008.00,0.00,50.40,1058.40,
Coffee Island HQ-27,2026-02-02,takeout,POS,16,10,4000.00,305.00,3695.00,0.00,184.75,3879.75,
Coffee Island AIPL,2026-02-02,delivery,Swiggy,6,4,1925.00,772.50,1152.50,80.00,61.63,1294.13,
Coffee Island AIPL,2026-02-02,delivery,Zomato,13,8,3575.00,1411.50,2163.50,160.00,116.19,2439.69,
Coffee Island AIPL,2026-02-02,table,POS,16,11,3643.00,297.50,3345.50,0.00,167.27,3512.77,
Coffee Island AIPL,2026-02-02,takeout,Mobile App,2,1,459.00,0.00,459.00,0.00,22.95,481.95,
Coffee Island AIPL,2026-02-02,takeout,POS,19,11,4650.00,265.00,4385.00,0.00,219.25,4604.25,
Coffee Island - Amanora Mall,2026-02-02,delivery,Swiggy,1,1,250.00,125.00,125.00,20.00,7.25,152.25,
Coffee Island - Amanora Mall,2026-02-02,delivery,Zomato,6,3,1900.00,950.00,950.00,60.00,50.50,1060.50,
Coffee Island - Amanora Mall,2026-02-02,table,POS,34,16,7325.24,476.50,6848.74,0.00,342.45,7191.19,
Coffee Island - Amanora Mall,2026-02-02,table,QR,41,21,11900.00,564.00,11336.00,0.00,566.80,11902.80,
Coffee Island - Amanora Mall,2026-02-02,takeout,POS,3,3,750.00,190.00,560.00,0.00,28.00,588.00,
Coffee Island - Tribeca Pune,2026-02-02,delivery,Swiggy,4,4,1300.00,410.00,890.00,80.00,48.50,1018.50,
Coffee Island - Tribeca Pune,2026-02-02,delivery,Zomato,9,5,3040.00,1210.00,1830.00,100.00,96.50,2026.50,
Coffee Island - Tribeca Pune,2026-02-02,table,POS,30,17,7731.33,128.00,7603.33,0.00,380.17,7983.50,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,delivery,Swiggy,15,10,4583.00,1995.00,2588.00,200.00,139.40,2927.40,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,delivery,Zomato,18,12,5839.00,2368.60,3470.40,0.00,173.55,3643.95,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,table,POS,130,66,28406.32,113.00,28293.32,0.00,1414.67,29707.99,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,table,QR,18,13,5170.00,126.00,5044.00,0.00,252.20,5296.20,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,takeout,Mobile App,1,1,210.00,72.00,138.00,0.00,6.90,144.90,
Coffee Island Eros Churchgate - Mumbai,2026-02-02,takeout,POS,34,23,8945.14,315.00,8630.14,0.00,431.52,9061.66,
Coffee Island Phoenix Market City - Mumbai,2026-02-02,delivery,Zomato,3,3,880.00,440.00,440.00,0.00,22.00,462.00,
Coffee Island Phoenix Market City - Mumbai,2026-02-02,table,POS,28,14,7258.57,250.00,7008.57,0.00,455.54,7464.11,
Coffee Island Phoenix Market City - Mumbai,2026-02-02,takeout,POS,4,4,736.67,0.00,736.67,0.00,36.84,773.51,
Coffee Island NSP - New Delhi,2026-02-02,delivery,Swiggy,17,9,4990.00,1942.50,3047.50,180.00,152.38,3379.88,
Coffee Island NSP - New Delhi,2026-02-02,delivery,Zomato,12,5,3190.00,1595.00,1595.00,100.00,84.75,1779.75,
Coffee Island NSP - New Delhi,2026-02-02,table,POS,66,34,15820.38,366.00,15454.38,0.00,772.73,16227.11,
Coffee Island NSP - New Delhi,2026-02-02,takeout,Mobile App,2,1,428.10,94.50,333.60,0.00,16.68,350.28,
Coffee Island NSP - New Delhi,2026-02-02,takeout,POS,6,3,1306.90,71.00,1235.90,0.00,61.80,1297.70,
Grand Total,,,,827,455,210393.88,31540.25,178853.63,2959.85,9186.99,191000.47,

