Generated On: 2026-02-05 01:48:34 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,delivery,Swiggy,8,4,2239.17,559.98,1679.19,80.00,87.96,1847.15,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,delivery,Zomato,14,8,3892.57,1330.00,2562.57,160.00,136.13,2858.70,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,table,POS,111,37,26872.23,1223.00,25649.23,1282.47,1407.11,28338.81,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,table,QR,3,1,1360.00,340.00,1020.00,68.00,54.41,1142.41,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-04,takeout,POS,20,15,5345.00,89.00,5256.00,0.00,262.80,5518.80,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,delivery,Swiggy,19,12,5915.00,2720.00,3195.00,240.00,171.75,3606.75,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,delivery,Zomato,20,14,6110.00,2857.00,3253.00,280.00,176.66,3709.66,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,table,POS,105,35,25756.20,2528.24,23227.96,0.00,1161.51,24389.47,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,table,QR,14,6,3760.00,0.00,3760.00,0.00,188.00,3948.00,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,takeout,Mobile App,2,2,520.00,130.00,390.00,0.00,19.50,409.50,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,takeout,POS,24,17,6635.71,415.00,6220.71,0.00,311.04,6531.75,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-04,takeout,QR,1,1,330.00,33.00,297.00,0.00,14.85,311.85,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,delivery,Swiggy,8,6,2100.50,649.99,1450.51,120.00,78.53,1649.04,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,delivery,Zomato,14,9,4745.00,1582.00,3163.00,180.00,167.16,3510.16,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,table,POS,24,11,5100.71,292.57,4808.14,0.00,240.42,5048.56,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,table,QR,4,2,1320.00,330.00,990.00,0.00,49.51,1039.51,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,takeout,Mobile App,2,1,540.00,100.00,440.00,0.00,22.00,462.00,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-04,takeout,POS,22,9,5560.00,138.00,5422.00,0.00,271.10,5693.10,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-04,delivery,Swiggy,2,1,630.00,315.00,315.00,20.00,16.75,351.75,
