Generated On: 2026-02-06 10:36:09 am
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Tab Type,Source,Quantity,Bills,Gross Sale,Discount,Net Sale,Charges,Tax,Total,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,delivery,Swiggy-Bolt Urgent,6,3,1966.00,429.99,1536.01,60.00,79.80,1675.81,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,delivery,Zomato,22,14,6203.56,1541.00,4662.56,280.00,269.13,5211.69,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,table,POS,58,25,12205.00,789.00,11416.00,535.56,597.60,12549.16,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,table,QR,3,1,810.00,0.00,810.00,15.50,41.28,866.78,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,takeout,Mobile App,1,1,290.00,70.50,219.50,0.00,10.98,230.48,
Coffee Island Beyond GK II,Coffee Island Beyond GK II,CAFE,2026-02-05,takeout,POS,18,15,5030.00,106.00,4924.00,0.00,246.20,5170.20,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,delivery,Swiggy,39,24,11452.57,4731.48,6721.09,480.00,360.07,7561.16,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,delivery,Zomato,20,13,5799.00,2499.50,3299.50,260.00,177.98,3737.48,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,table,POS,64,28,16088.98,3274.36,12814.62,0.00,665.44,13480.06,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,table,QR,28,15,8410.00,363.50,8046.50,0.00,402.33,8448.83,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,takeout,Mobile App,3,2,770.00,149.00,621.00,0.00,31.06,652.06,
Coffee Island HQ-27,Coffee island HQ-27,CAFE,2026-02-05,takeout,POS,17,11,3680.00,466.00,3214.00,0.00,160.70,3374.70,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,delivery,Swiggy,7,5,2159.00,960.00,1199.00,100.00,64.96,1363.96,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,delivery,Zomato,37,23,11124.71,4876.86,6247.85,460.00,334.41,7042.26,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,table,POS,35,17,8225.00,832.00,7393.00,0.00,369.66,7762.66,
Coffee Island AIPL,Coffee Island AIPL,CAFE,2026-02-05,takeout,POS,15,8,4350.00,82.00,4268.00,0.00,213.40,4481.40,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,delivery,Swiggy,4,2,1210.00,605.00,605.00,40.00,32.25,677.25,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,delivery,Zomato,5,4,1550.00,507.00,1043.00,80.00,56.15,1179.15,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,table,POS,35,22,5470.00,234.00,5236.00,0.00,261.80,5497.80,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,table,QR,33,16,9675.00,87.00,9588.00,0.00,479.40,10067.40,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall,CAFE,2026-02-05,takeout,POS,10,6,2770.00,4.00,2766.00,0.00,138.30,2904.30,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,delivery,Swiggy,4,2,1321.00,470.58,850.42,40.00,44.51,934.93,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,delivery,Zomato,6,4,1920.00,630.00,1290.00,80.00,68.50,1438.50,
Coffee Island - Tribeca Pune,Coffee Island - Tribeca Pune,CAFE,2026-02-05,table,POS,63,32,15487.29,990.27,14497.02,0.00,724.88,15221.90,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,delivery,Mobile App,1,1,340.00,340.00,0.00,0.00,0.00,0.00,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,delivery,Swiggy,32,16,9655.57,3340.65,6314.92,320.00,331.75,6966.67,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,delivery,Zomato,32,17,9431.80,3637.00,5794.80,0.00,289.74,6084.54,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,table,POS,108,57,27310.00,729.00,26581.00,0.00,1329.06,27910.06,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,table,QR,76,31,21318.10,0.00,21318.10,0.00,1065.91,22384.01,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-05,takeout,POS,28,20,6258.60,40.00,6218.60,0.00,310.94,6529.54,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-05,table,POS,61,29,15706.18,366.69,15339.49,0.00,847.88,16187.37,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-05,takeout,POS,1,1,330.00,0.00,330.00,0.00,16.50,346.50,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-05,delivery,Swiggy,15,11,4726.90,1727.49,2999.41,220.00,149.98,3369.39,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-05,delivery,Zomato,5,4,1575.00,697.50,877.50,80.00,47.88,1005.38,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-05,table,POS,81,37,17832.14,638.50,17193.64,0.00,859.69,18053.33,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-05,takeout,Mobile App,1,1,310.00,46.50,263.50,0.00,13.18,276.68,
Coffee Island NSP - New Delhi,Coffee Island NSP - New Delhi,CAFE,2026-02-05,takeout,POS,5,3,1455.00,0.00,1455.00,0.00,72.75,1527.75,
Grand Total,,,,,,979,521,254216.40,36262.37,217954.03,3051.06,11166.05,232171.14,

