Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-5","5","POS","TAKEAWAY","Main Course","Hand Made Sandwiches","-","Mushroom & Scrambled Egg White Broccomole Bagel","2025-05-01","10:07:40 AM","2025-05-01","08:06:34 PM","vitaxnova_manager","vitaxnova_igm_aashiq","1","295.2380952","295.24","plced from app","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-5","5","POS","TAKEAWAY","Hot Beverages","Hot Brews","-","Hot Latte Signature-reg","2025-05-01","10:07:40 AM","2025-05-01","08:07:04 PM","vitaxnova_manager","vitaxnova_igm_aashiq","1","219.047619","219.05","placed from app","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-5","5","POS","TAKEAWAY","Cold Beverages","Choice of Beans","-","Kenya Single Estate @50","2025-05-01","10:07:40 AM","2025-05-01","08:07:04 PM","vitaxnova_manager","vitaxnova_igm_aashiq","1","50","50","-","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-8","8","POS","DINE IN","Main Course","Hand Made Sandwiches","-","Mushroom & Scrambled Egg White Broccomole Bagel","2025-05-01","10:34:18 AM","2025-05-01","11:08:14 AM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","295.2380952","295.24","Customer Mind Changed","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-8","8","POS","DINE IN","Hot Beverages","Hot Brews","-","Hot Latte Signature-Med","2025-05-01","10:34:18 AM","2025-05-01","11:08:39 AM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","238.0952381","238.1","customer Placed order online","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-8","8","POS","DINE IN","ADDON","Choice of Beans","-","Volcano Blend - (Default)","2025-05-01","10:34:18 AM","2025-05-01","11:08:39 AM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","0","0","-","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-8","8","POS","DINE IN","Cold Beverages","Cold Brews","-","Fizzy Espressione (Gingerale)","2025-05-01","10:34:18 AM","2025-05-01","12:55:12 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","295.2380952","295.24","Wrong Punch","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-01","2025-05-01","T1-8","8","POS","DINE IN","ADDON","Choice of Beans","-","Master Blend - (Default)","2025-05-01","10:34:18 AM","2025-05-01","12:55:12 PM","vitaxnova_igm_aashiq","vitaxnova_igm_aashiq","1","0","0","-","Item Delete","-",
"Coffee Island HQ-27","10001","2025-05-06","2025-05-05","T1-230","43","POS","ONLINE","Hot Beverages","Hot Brews","-","Flat White","2025-05-05","09:19:25 PM","2025-05-05","11:58:40 PM","vitaxnova_ibm_neeraj","vitaxnova_ibm_neeraj","1","200","200","testing","KOT Void","-",
"Coffee Island HQ-27","10001","2025-05-06","2025-05-05","T1-230","43","POS","ONLINE","ADDON","Choice of Beans","-","Master Blend - (Default)","2025-05-05","09:19:25 PM","2025-05-05","11:58:40 PM","vitaxnova_ibm_neeraj","vitaxnova_ibm_neeraj","1","0","0","-","KOT Void","-",
