Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-34","11","Mobile App","TAKEAWAY","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-06-26","02:45:26 PM","2025-06-26","02:57:29 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","38","38","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-37","15","Mobile App","ONLINE","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-06-26","03:08:25 PM","2025-06-26","03:10:43 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","38","38","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-38","16","Mobile App","ONLINE","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-06-26","03:08:31 PM","2025-06-26","03:11:03 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","38","38","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-44","24","Mobile App","ONLINE","Combos","Non-Veg Combo","222","Non Veg Pasta & Dessert Combo","2025-06-26","04:00:18 PM","2025-06-26","04:09:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","5","550","2750","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-44","24","Mobile App","ONLINE","Combos","Non-Veg Combo","223","Non Veg Toastie & Islander Cold Coffee Combo","2025-06-26","04:00:18 PM","2025-06-26","04:09:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","5","480","2400","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-44","24","Mobile App","ONLINE","Combos","Non-Veg Combo","224","Non Veg Melt & Iced Latte Combo","2025-06-26","04:00:18 PM","2025-06-26","04:09:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","5","565","2825","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-44","24","Mobile App","ONLINE","Combos","Veg Combo","227","Veg Pasta & Dessert Combo","2025-06-26","04:00:18 PM","2025-06-26","04:09:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","5","520","2600","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-44","24","Mobile App","ONLINE","Combos","Veg Combo","230","Caramel + The Ultimate Trail Mix","2025-06-26","04:00:18 PM","2025-06-26","04:09:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","399","399","R&D","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-26","2025-06-26","T1-46","26","Mobile App","ONLINE","Cold Beverages","Cold Brews","6","Bobastic Coffeeccino-Med","2025-06-26","04:22:19 PM","2025-06-26","04:24:57 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","270","270","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-06-27","2025-06-27","T1-70","2","Mobile App","TAKEAWAY","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-06-27","08:21:55 AM","2025-06-27","08:26:41 AM","vitaxnova_aipl_manager","vitaxnova_aipl_manager","1","38","38","Out of stock","Bill Void","-",
