Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island AIPL","10003","2025-07-06","2025-07-06","T1-560","28","POS","DINE IN","Hot Beverages","Hot Brews","106","Cappuccino-reg","2025-07-06","02:43:03 PM","2025-07-06","08:42:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_saloni","1","230.0004","230","due to not machine was not working","Bill Void","Cash | Other",
"Coffee Island AIPL","10003","2025-07-06","2025-07-06","T1-560","28","POS","DINE IN","ADDON","Choice of Milk","152","Skimmed Milk @50","2025-07-06","02:43:03 PM","2025-07-06","08:42:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_saloni","1","52.5","52.5","due to not machine was not working","Bill Void","Cash | Other",
"Coffee Island AIPL","10003","2025-07-06","2025-07-06","T1-560","28","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-07-06","02:43:03 PM","2025-07-06","08:42:02 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_saloni","1","0","0","due to not machine was not working","Bill Void","Cash | Other",
"Coffee Island AIPL","10003","2025-07-07","2025-07-07","T1-621","25","Mobile App","TAKEAWAY","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-07-07","05:17:15 PM","2025-07-07","05:29:19 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_saloni","1","38","38","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-10","2025-07-10","T1-770","46","Zomato","ONLINE","Cold Beverages","Cold Brews","10","Islander Cold Coffee-Lrg","2025-07-10","10:05:16 PM","2025-07-10","10:09:00 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","2","270","540","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-10","2025-07-10","T1-770","46","Zomato","ONLINE","ADDON","Choice of Beans","138","Master Blend @0","2025-07-10","10:05:16 PM","2025-07-10","10:09:00 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","2","0","0","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-10","2025-07-10","T1-770","46","Zomato","ONLINE","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-07-10","10:05:16 PM","2025-07-10","10:09:00 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","2","0","0","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-13","2025-07-13","T1-926","37","Zomato","ONLINE","Cold Beverages","Cold Brews","14","Iced Americano-Lrg","2025-07-13","05:11:23 PM","2025-07-13","05:13:18 PM","vitaxnova_ciaipl_saloni","vitaxnova_ciaipl_saloni","1","250","250","-","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-17","2025-07-17","T1-1121","37","POS","DINE IN","Main Course","Hand Made Sandwiches","170","Roasted Tomato & Bocconcini Croissant","2025-07-17","07:31:32 PM","2025-07-17","10:37:07 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_neeraj","1","349.99965","350","customer found paper in sandwich so we return cash","Bill Void","Cash",
"Coffee Island AIPL","10003","2025-07-25","2025-07-25","T1-1546","30","Swiggy","DELIVERY","Quick Bites","Croissant Cookie & Muffin","216","White Chocolate & Pistachio Flat Croissant","2025-07-25","04:43:34 PM","2025-07-25","05:14:45 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_sashi","1","230","230","prpduct out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-25","2025-07-25","T1-1546","30","Swiggy","DELIVERY","Quick Bites","Croissant Cookie & Muffin","210","Parker House Cream Pie Croissant","2025-07-25","04:43:34 PM","2025-07-25","05:14:45 PM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_sashi","1","210","210","prpduct out of stock","Bill Void","-",
"Coffee Island AIPL","10003","2025-07-27","2025-07-27","T1-1645","1","POS","DINE IN","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-07-27","08:56:57 AM","2025-07-27","09:36:11 AM","vitaxnova_ciaipl_neeraj","vitaxnova_ciaipl_saloni","2","189.9996","380","double punching by mistake","Bill Void","Cash",
"Coffee Island GK II","10002","2025-07-03","2025-07-03","T1-2984","43","Swiggy","DELIVERY","Hot Beverages","Hot Brews","90","Cortardo (Small)","2025-07-03","06:41:08 PM","2025-07-03","07:22:50 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","210","210","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-03","2025-07-03","T1-2984","43","Swiggy","DELIVERY","ADDON","Choice of Milk","335","Regular - Milk -120g Default","2025-07-03","06:41:08 PM","2025-07-03","07:22:50 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","0","0","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-03","2025-07-03","T1-2984","43","Swiggy","DELIVERY","ADDON","Choice of Beans","137","Volcano Blend@0","2025-07-03","06:41:08 PM","2025-07-03","07:22:50 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","0","0","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-04","2025-07-04","T1-3083","64","POS","TAKEAWAY","Cold Beverages","Refresh","-","Iced Classic Lemon Tea-Med","2025-07-04","06:11:06 PM","2025-07-04","06:24:06 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","249.99975","250","DIDNT LIKE IT","Item Delete","-",
"Coffee Island GK II","10002","2025-07-09","2025-07-09","T1-3568","32","POS","DELIVERY","Main Course","Wholesome Wrap","-","Smoked Cottage Cheese Wrap","2025-07-09","03:24:28 PM","2025-07-09","03:34:54 PM","vitaxnova_cigk2_ruth","vitaxnova_cigk2_ruth","1","330.0003","330","wrong punched","Item Delete","-",
"Coffee Island GK II","10002","2025-07-17","2025-07-16","T1-4333","5","Swiggy","DELIVERY","Hot Beverages","Hot Brews","99","Americano-reg","2025-07-17","12:26:38 AM","2025-07-17","03:23:25 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","1","210","210","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-17","2025-07-16","T1-4333","5","Swiggy","DELIVERY","Hot Beverages","Island Special-Hot","134","Mocha Espressione Hot-Med","2025-07-17","12:26:38 AM","2025-07-17","03:23:25 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","1","270","270","-","Bill Void","-",
"Coffee Island GK II","10002","2025-07-19","2025-07-19","T1-4589","74","POS","DINE IN","Main Course","Hand Made Sandwiches","-","Roasted Tomato & Bocconcini Croissant","2025-07-19","06:49:21 PM","2025-07-20","12:13:04 AM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","349.99965","350","CUSTOMER COMPLAINT","Item Delete","-",
"Coffee Island GK II","10002","2025-07-20","2025-07-20","T1-4712","95","POS","DINE IN","Snacks","Trail Mix","-","Chocolate Almond","2025-07-20","07:35:20 PM","2025-07-20","07:51:02 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","114.41","114.41","close to expiry","Item Delete","-",
"Coffee Island GK II","10002","2025-07-26","2025-07-26","T1-5206","31","POS","DELIVERY","Hot Beverages","Hot Brews","99","Americano-reg","2025-07-26","09:48:05 AM","2025-07-26","01:25:07 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","2","210","420","WRONG","Bill Void","-",
