Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island GK II","10002","2025-08-01","2025-07-31","T1-5716","13","Swiggy","DELIVERY","Cold Beverages","Cold Brews","2","Iced Latte Signature-Med","2025-08-01","02:38:58 AM","2025-08-01","03:05:44 AM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_ruth","1","270","270","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-01","2025-07-31","T1-5716","13","Swiggy","DELIVERY","ADDON","Choice of Milk","340","Regular - Milk -170g Default","2025-08-01","02:38:58 AM","2025-08-01","03:05:44 AM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_ruth","1","0","0","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-01","2025-08-01","T1-5780","78","Zomato","DELIVERY","Quick Bites","Puff & Toastie","219","Peri Peri Cheese Toastie","2025-08-01","09:17:41 PM","2025-08-01","09:51:05 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","250","250","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-01","2025-08-01","T1-5780","78","Zomato","DELIVERY","Cold Beverages","Refresh","77","Bobastic Peach Paradise Refresh Tea-Lrg","2025-08-01","09:17:41 PM","2025-08-01","09:51:05 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ansh","1","290","290","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-02","2025-08-02","T1-5808","18","POS","DELIVERY","Hot Beverages","Alternative Brews","86","Island Pour Over","2025-08-02","11:03:16 AM","2025-08-02","01:50:25 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","2","309.9999","620","void","Bill Void","-",
"Coffee Island GK II","10002","2025-08-02","2025-08-02","T1-5808","18","POS","DELIVERY","ADDON","Choice of Beans","405","Kenya Single Estate 20g @0","2025-08-02","11:03:16 AM","2025-08-02","01:50:25 PM","vitaxnova_cigk2_ansh","vitaxnova_cigk2_ruth","2","0","0","void","Bill Void","-",
"Coffee Island GK II","10002","2025-08-11","2025-08-11","T1-6558","39","Mobile App","ONLINE","Combos","Veg Combo","226","Veg Toastie & Island Cold Coffee","2025-08-11","06:59:01 PM","2025-08-11","08:02:05 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","450","450","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-11","2025-08-11","T1-6558","39","Mobile App","ONLINE","Desserts","Desserts","188","Cinnamon & Jaggery Tea Cake","2025-08-11","06:59:01 PM","2025-08-11","08:02:05 PM","vitaxnova_cigk2_balkishan","vitaxnova_cigk2_balkishan","1","230","230","-","Bill Void","-",
"Coffee Island GK II","10002","2025-08-12","2025-08-12","T1-6617","38","POS","DINE IN","Desserts","Desserts","-","Belgian Chocolate Fudge Brownie","2025-08-12","02:51:33 PM","2025-08-12","03:17:31 PM","vitaxnova_cigk2_yasmin","vitaxnova_cigk2_yasmin","1","189.9996","190","quality issue","Item Delete","-",
"Coffee Island GK II","10002","2025-08-18","2025-08-18","T1-7112","35","POS","DELIVERY","Snacks","Trail Mix","-","The Ultimate Trail Mix","2025-08-18","06:06:50 PM","2025-08-18","06:10:39 PM","vitaxnova_cigk2_yasmin","vitaxnova_cigk2_yasmin","1","156.25","156.25","BY MISTAKE","Item Delete","-",
