Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Amanora Mall","10004","2025-09-09","2025-09-09","T1-1","1","Mobile App","ONLINE","Hot Beverages","Hot Brews","90","Cortardo (Small)","2025-09-09","05:55:47 PM","2025-09-09","07:51:29 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","1","230","230","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-09-09","2025-09-09","T1-1","1","Mobile App","ONLINE","ADDON","Choice of Beans","139","Kenya Blend @25","2025-09-09","05:55:47 PM","2025-09-09","07:51:29 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","1","25","25","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-09-11","2025-09-11","T1-28","21","POS","DINE IN","Hot Beverages","Island Special-Hot","136","Spanish Bombon (Small)","2025-09-11","01:18:15 PM","2025-09-11","01:41:58 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","310","620","PAYMENT FAILED AND GUEST HAS CHANGED THERE ORDER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-11","2025-09-11","T1-28","21","POS","DINE IN","ADDON","Choice of Beans","138","Master Blend @0","2025-09-11","01:18:15 PM","2025-09-11","01:41:58 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","0","0","PAYMENT FAILED AND GUEST HAS CHANGED THERE ORDER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-11","2025-09-11","T1-28","21","POS","DINE IN","Cold Beverages","Cold Brews","11","Islander Cold Coffee-Med","2025-09-11","01:18:15 PM","2025-09-11","01:41:58 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","290","580","PAYMENT FAILED AND GUEST HAS CHANGED THERE ORDER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-11","2025-09-11","T1-28","21","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-09-11","01:18:15 PM","2025-09-11","01:41:58 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","0","0","PAYMENT FAILED AND GUEST HAS CHANGED THERE ORDER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-15","2025-09-15","T1-473","10","POS","DINE IN","Quick Bites","Puff & Toastie","220","Herb Chicken Open Puff","2025-09-15","03:29:58 PM","2025-09-15","11:50:12 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","1","210","210","MISTAKENLY SETTLED AND DENIED BY CUSTOMER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-15","2025-09-15","T1-473","10","POS","DINE IN","Hot Beverages","Hot Brews","97","Hot Latte Signature-reg","2025-09-15","03:29:58 PM","2025-09-15","11:50:12 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","240","480","MISTAKENLY SETTLED AND DENIED BY CUSTOMER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-15","2025-09-15","T1-473","10","POS","DINE IN","ADDON","Choice of Milk","338","Regular - Milk -150g Default","2025-09-15","03:29:58 PM","2025-09-15","11:50:12 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","0","0","MISTAKENLY SETTLED AND DENIED BY CUSTOMER","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-09-15","2025-09-15","T1-473","10","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-09-15","03:29:58 PM","2025-09-15","11:50:12 PM","vitaxnova_ciam_yogen","vitaxnova_ciam_yogen","2","0","0","MISTAKENLY SETTLED AND DENIED BY CUSTOMER","Bill Void","Other",
