Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Amanora Mall","10004","2025-10-11","2025-10-11","T1-2458","28","POS","DINE IN","Cold Beverages","Cold Brews","390","Vietnamese Matcha","2025-10-11","03:31:25 PM","2025-10-11","04:08:49 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","310","310","Customer didn't like the baverage","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-12","2025-10-12","T1-2562","9","Mobile App","TAKEAWAY","Cold Beverages","Cold Brews","416","Bobastic Apple Green Tea","2025-10-12","01:28:24 PM","2025-10-12","11:16:10 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","270","270","Unable to settle","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-12","2025-10-12","T1-2670","117","POS","DINE IN","Snacks","Trail Mix","279","The Ultimate Trail Mix","2025-10-12","09:08:10 PM","2025-10-12","11:12:59 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","156.25","156.25","Customer denied the order","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-19","2025-10-19","T1-3135","91","POS","TAKEAWAY","Main Course","Rice Bowl","175","Cottage Cheese Fajita With Broccomole","2025-10-19","09:02:21 PM","2025-10-19","11:17:00 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","350","350","bill cancelled by customer","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-22","2025-10-22","T1-3311","52","POS","DINE IN","Cold Beverages","Cold Brews","11","Islander Cold Coffee-Med","2025-10-22","08:06:17 PM","2025-10-22","11:35:21 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","290","290","customer recovery","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-22","2025-10-22","T1-3311","52","POS","DINE IN","ADDON","Choice of Syrup","166","Hazelnut Syrup @50","2025-10-22","08:06:17 PM","2025-10-22","11:35:21 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","50","50","customer recovery","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-22","2025-10-22","T1-3311","52","POS","DINE IN","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-22","08:06:17 PM","2025-10-22","11:35:21 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","0","0","customer recovery","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3459","34","POS","DINE IN","Cold Beverages","Island Special-Cold","365","Java Chip Killer-Medium","2025-10-25","04:59:45 PM","2025-10-25","10:43:32 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","330","330","CUSTOMER REFUNDED","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3459","34","POS","DINE IN","Quick Bites","Puff & Toastie","219","Peri Peri Cheese Toastie","2025-10-25","04:59:45 PM","2025-10-25","10:43:32 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","290","290","CUSTOMER REFUNDED","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3505","80","Swiggy","DELIVERY","Cold Beverages","Refresh","78","Bobastic Peach Paradise Refresh Tea-Med","2025-10-25","08:47:23 PM","2025-10-25","09:00:19 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","300","300","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3505","80","Swiggy","DELIVERY","Quick Bites","Puff & Toastie","217","Korean Garlic Mushroom Puff","2025-10-25","08:47:23 PM","2025-10-25","09:00:19 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","210","210","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3505","80","Swiggy","DELIVERY","Main Course","Hand Made Sandwiches","174","Garlic Mushroom & Caramelized Onion Melt","2025-10-25","08:47:23 PM","2025-10-25","09:00:19 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","390","390","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3505","80","Swiggy","DELIVERY","Cold Beverages","Cold Brews","6","Bobastic Coffeeccino-Med","2025-10-25","08:47:23 PM","2025-10-25","09:00:19 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","320","320","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-25","2025-10-25","T1-3505","80","Swiggy","DELIVERY","ADDON","Choice of Milk","332","Regular - Milk -90g Default","2025-10-25","08:47:23 PM","2025-10-25","09:00:19 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","0","0","-","Bill Void","-",
