Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Amanora Mall","10004","2025-12-01","2025-12-01","T1-6056","19","POS","TAKEAWAY","Cold Beverages","Cold Brews","390","Vietnamese Matcha","2025-12-01","03:41:04 PM","2025-12-01","10:37:27 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","310","310","product out of stock but order taken by mistake","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-12-01","2025-12-01","T1-6056","19","POS","TAKEAWAY","ADDON","Choice of Crema","161","Salted Caramel Crema @50","2025-12-01","03:41:04 PM","2025-12-01","10:37:27 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","50","50","product out of stock but order taken by mistake","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-12-02","2025-12-02","T1-6117","29","POS","TAKEAWAY","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-02","05:21:11 PM","2025-12-02","11:03:13 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","325","325","customer","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-12-02","2025-12-02","T1-6117","29","POS","TAKEAWAY","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-02","05:21:11 PM","2025-12-02","11:03:13 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","325","325","customer","Bill Void","Other",
"Coffee Island - Amanora Mall","10004","2025-12-02","2025-12-02","T1-6123","35","QR","DINE IN","Hot Beverages","Hot Brews","94","Flat White","2025-12-02","06:09:54 PM","2025-12-02","06:50:38 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","230","230","QR order testing","Bill Void","Cash",
"Coffee Island - Amanora Mall","10004","2025-12-11","2025-12-11","T1-6824","35","Zomato","DELIVERY","Hot Beverages","Hot Tea","129","Chamomile Sunset Classic Tea","2025-12-11","06:47:33 PM","2025-12-11","07:44:15 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","230","230","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-12-11","2025-12-11","T1-6824","35","Zomato","DELIVERY","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-11","06:47:33 PM","2025-12-11","07:44:15 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","320","320","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-12-11","2025-12-11","T1-6824","35","Zomato","DELIVERY","Quick Bites","Puff & Toastie","219","Peri Peri Cheese Toastie","2025-12-11","06:47:33 PM","2025-12-11","07:44:15 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","320","320","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-12-11","2025-12-11","T1-6824","35","Zomato","DELIVERY","Quick Bites","Puff & Toastie","424","Korean Bun","2025-12-11","06:47:33 PM","2025-12-11","07:44:15 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","350","350","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-12-14","2025-12-14","T1-7130","60","Zomato","DELIVERY","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-14","05:36:02 PM","2025-12-14","05:42:30 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","300","300","-","Bill Void","-",
