Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"MSFT Hyd","10007","2025-09-01","2025-09-01","T1-5281","108","POS","TAKEAWAY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-09-01","04:55:52 PM","2025-09-01","05:24:52 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","171.4286","171.43","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-01","2025-09-01","T1-5281","108","POS","TAKEAWAY","ADDON","Choice of Milk","340","Regular - Milk -170g Default","2025-09-01","04:55:52 PM","2025-09-01","05:24:52 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-01","2025-09-01","T1-5281","108","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-09-01","04:55:52 PM","2025-09-01","05:24:52 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-05","2025-09-05","T1-5865","41","POS","TAKEAWAY","Main Course","Hand Made Sandwiches","171","Roasted Turkey Tomato & Cheese Croissant","2025-09-05","01:03:07 PM","2025-09-05","01:07:09 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","291.7551","291.76","wrong punched","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-08","2025-09-08","T1-6135","79","POS","TAKEAWAY","Desserts","Gelato","196","Belgian Chocolate Singal Scoop","2025-09-08","04:22:32 PM","2025-09-08","04:24:09 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","94.2857","94.29","DOUBLE PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-15","2025-09-15","T1-7207","168","POS","TAKEAWAY","Cold Beverages","Cold Brews","6","Bobastic Coffeeccino-Med","2025-09-15","05:30:27 PM","2025-09-15","05:34:06 PM","vitaxnova_hyd_anand","vitaxnova_hyd_anand","1","180.9524","180.95","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-15","2025-09-15","T1-7207","168","POS","TAKEAWAY","Cold Beverages","Cold Brews","10","Islander Cold Coffee-Lrg","2025-09-15","05:30:27 PM","2025-09-15","05:34:06 PM","vitaxnova_hyd_anand","vitaxnova_hyd_anand","1","180.9524","180.95","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-15","2025-09-15","T1-7207","168","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend - (Default)","2025-09-15","05:30:27 PM","2025-09-15","05:34:06 PM","vitaxnova_hyd_anand","vitaxnova_hyd_anand","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-17","2025-09-17","T1-7449","30","POS","TAKEAWAY","Quick Bites","Croissant Cookie & Muffin","216","White Chocolate & Pistachio Flat Croissant","2025-09-17","12:28:36 PM","2025-09-17","12:32:43 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","140.3265","140.33","wrong punch by staff","Bill Void","Cash",
"MSFT Hyd","10007","2025-09-19","2025-09-19","T1-7858","3","POS","TAKEAWAY","Cold Beverages","Cold Brews","15","Iced Americano-Med","2025-09-19","08:22:21 AM","2025-09-19","08:30:14 AM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","152.381","152.38","WRONG PUNCHING","Bill Void","Cash",
