Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"MSFT Hyd","10007","2025-10-06","2025-10-06","T1-9594","70","POS","TAKEAWAY","Cold Beverages","Cold Brews","2","Iced Latte Signature-Med","2025-10-06","02:20:40 PM","2025-10-06","02:21:36 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","123.8095","123.81","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-06","2025-10-06","T1-9594","70","POS","TAKEAWAY","ADDON","Choice of Milk","335","Regular - Milk -120g Default","2025-10-06","02:20:40 PM","2025-10-06","02:21:36 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-06","2025-10-06","T1-9594","70","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-06","02:20:40 PM","2025-10-06","02:21:36 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-07","2025-10-07","T1-9808","101","POS","TAKEAWAY","Hot Beverages","Hot Brews","97","Hot Latte Signature-reg","2025-10-07","03:24:36 PM","2025-10-07","03:26:30 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","152.381","152.38","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-07","2025-10-07","T1-9808","101","POS","TAKEAWAY","ADDON","Choice of Milk","338","Regular - Milk -150g Default","2025-10-07","03:24:36 PM","2025-10-07","03:26:30 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-07","2025-10-07","T1-9808","101","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-07","03:24:36 PM","2025-10-07","03:26:30 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-09","2025-10-09","T1-10226","175","POS","TAKEAWAY","Quick Bites","Puff & Toastie","221","Chipotle Paneer Bhurji & Broccomole Toastie","2025-10-09","05:03:54 PM","2025-10-09","05:06:10 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","241.2789","241.28","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-17","2025-10-17","T1-11092","110","POS","TAKEAWAY","Desserts","Desserts","190","Pecan & Date Tea Cake","2025-10-17","05:52:08 PM","2025-10-17","06:17:06 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","190.4762","190.48","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-24","2025-10-24","T1-11445","55","POS","TAKEAWAY","Desserts","Desserts","189","New York Cheesecake","2025-10-24","03:42:54 PM","2025-10-24","03:53:51 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","241.2789","241.28","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-24","2025-10-24","T1-11445","55","POS","TAKEAWAY","Desserts","Desserts","190","Pecan & Date Tea Cake","2025-10-24","03:42:54 PM","2025-10-24","03:53:51 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","190.4762","190.48","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-10-24","2025-10-24","T1-11490","100","POS","TAKEAWAY","Desserts","Desserts","187","Nolen Gur Banoffee Jar","2025-10-24","05:42:18 PM","2025-10-24","05:43:51 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","241.2789","241.28","wrong punching","Bill Void","Cash",
