Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"MSFT Hyd","10007","2025-11-04","2025-11-04","T1-12297","16","POS","TAKEAWAY","Hot Beverages","Island Special-Hot","134","Mocha Espressione Hot-Med","2025-11-04","10:32:50 AM","2025-11-04","10:34:06 AM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","200","200","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-06","2025-11-06","T1-12746","156","POS","TAKEAWAY","Emp Meal","Emp Meal","353","Emp Meal","2025-11-06","05:59:00 PM","2025-11-06","06:19:51 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","employee meal  closed in takeaway","Bill Void","-",
"MSFT Hyd","10007","2025-11-06","2025-11-06","T1-12749","159","POS","DINE IN","Desserts","Gelato","209","Dark Chocolate Single Scoop","2025-11-06","06:30:53 PM","2025-11-06","06:37:27 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","104.762","104.76","WRONG PUNCH","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-07","2025-11-07","T1-12846","95","POS","TAKEAWAY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-11-07","03:47:11 PM","2025-11-07","03:50:11 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","171.4286","171.43","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-07","2025-11-07","T1-12846","95","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-11-07","03:47:11 PM","2025-11-07","03:50:11 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-07","2025-11-07","T1-12846","95","POS","TAKEAWAY","ADDON","Choice of Milk","340","Regular - Milk -170g Default","2025-11-07","03:47:11 PM","2025-11-07","03:50:11 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-07","2025-11-07","T1-12927","176","POS","TAKEAWAY","Emp Meal","Emp Meal","353","Emp Meal","2025-11-07","06:05:03 PM","2025-11-07","06:14:18 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","EMPLOYEE MEAL PUNCHED IN TAKEAWAY","Bill Void","-",
"MSFT Hyd","10007","2025-11-13","2025-11-13","T1-13467","39","POS","DINE IN","Hot Beverages","Hot Brews","99","Americano-reg","2025-11-13","12:35:50 PM","2025-11-13","12:39:14 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","200","200","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-13","2025-11-13","T1-13467","39","POS","DINE IN","ADDON","Choice of Beans","138","Master Blend @0","2025-11-13","12:35:50 PM","2025-11-13","12:39:14 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","WRONG PUNCHING","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-18","2025-11-18","T1-14140","160","POS","TAKEAWAY","Desserts","Gelato","209","Dark Chocolate Single Scoop","2025-11-18","06:39:18 PM","2025-11-18","06:42:09 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","2","94.2857","188.57","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-20","2025-11-20","T1-14384","80","POS","TAKEAWAY","Quick Bites","Croissant Cookie & Muffin","211","Double Choco Chunk Cookie","2025-11-20","03:05:38 PM","2025-11-20","03:09:38 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","99.483","99.48","wrong punching","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-21","2025-11-21","T1-14621","121","POS","TAKEAWAY","Quick Bites","Croissant Cookie & Muffin","212","French Butter Croissant","2025-11-21","04:34:36 PM","2025-11-21","04:44:01 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","99.483","99.48","wrong punch","Bill Void","Cash",
"MSFT Hyd","10007","2025-11-24","2025-11-24","T1-14778","76","POS","TAKEAWAY","Emp Meal","Emp Meal","353","Emp Meal","2025-11-24","04:26:36 PM","2025-11-24","04:29:05 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","EMPLOYEE MEAL","Bill Void","-",
"MSFT Hyd","10007","2025-11-24","2025-11-24","T1-14779","77","POS","TAKEAWAY","Emp Meal","Emp Meal","353","Emp Meal","2025-11-24","04:27:09 PM","2025-11-24","04:28:42 PM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","0","0","EMPLOYEE MEAL","Bill Void","-",
"MSFT Hyd","10007","2025-11-27","2025-11-27","T1-15216","9","POS","TAKEAWAY","Hot Beverages","Hot Brews","105","Cappuccino-Med","2025-11-27","09:23:35 AM","2025-11-27","10:23:46 AM","vitaxnova_hyd_kalleti","vitaxnova_hyd_kalleti","1","171.4286","171.43","DOUBLE PUNCHING","Bill Void","Cash",
